EmploymentID,PersonalID,EmploymentType,EmploymentSector,Employer,Country,Occupation,SkillsUsed,StartDate,EndDate,DurationMonths
1,1,Previous,Security Services,Tech Ltd,Qatar,Nurse,Customer Service,2018-07-13,2023-09-25,62.0
2,2,Previous,Logistics & Warehousing,Tea Solutions,United Arab Emirates,House Driver,Medical Assistance;Shuttering Carpentry;Janitorial Skills,2012-01-25,2016-11-09,58.0
3,4,Previous,Healthcare & Nursing,Hotel Pvt,Qatar,Maintenance Worker,Nursing,2023-04-20,2024-11-21,19.0
4,5,Previous,Healthcare & Nursing,Ceylon Corp,Oman,Bar Bender,Nursing,2015-02-17,2015-06-13,4.0
5,6,Previous,Healthcare & Nursing,Apparel Group,Saudi Arabia,General Labourer,Nursing,2013-12-30,2022-11-17,107.0
6,6,Previous,Beauty & Personal Care,Tech Pvt,Serbia,General Labourer,Security Guarding;Garment Quality Control;Painting,2011-02-15,2022-03-23,133.0
7,6,Previous,Retail & Sales,Lanka Pvt,South Korea,General Labourer,Textile Machine Operation;Caregiving,2014-07-06,2025-03-18,128.0
8,6,Previous,Agriculture & Fishery,Hotel Pvt,United Arab Emirates,General Labourer,Bookkeeping;Hairdressing,2012-02-07,2019-12-10,94.0
9,8,Current,Garment & Apparel,Tea Solutions,United Arab Emirates,Welder,Laundry,2013-07-01,,
10,8,Previous,Healthcare & Nursing,Gem Enterprises,Bahrain,Welder,Nursing,2010-10-28,2015-06-04,56.0
11,9,Previous,Beauty & Personal Care,Construction Enterprises,New Zealand,Quality Control Inspector,Food Preparation;Kitchen Assistance;Security Guarding,2015-07-12,2016-11-12,16.0
12,10,Previous,Cleaning Services,Construction Ltd,Saudi Arabia,Construction Supervisor,Driving,2016-05-27,2022-04-14,71.0
13,13,Previous,Logistics & Warehousing,Tech Pvt,United Arab Emirates,Construction Helper,Guest Relations,2023-01-05,2024-08-14,19.0
14,13,Current,Construction,Tech Corp,Saudi Arabia,Construction Supervisor,Makeup Artistry;Heavy Vehicle Driving,2018-07-10,,
15,15,Current,Beauty & Personal Care,Hotel Ltd,Qatar,Salesperson,Administrative Support;Customer Service,2017-12-17,,
16,15,Current,Logistics & Warehousing,Tea Ltd,Maldives,Salesperson,IT Skills;Barista Skills,2015-03-12,,
17,15,Previous,IT & Professional Services,Tea Group,Bahrain,Salesperson,Serving;Kitchen Assistance;IT Skills,2011-02-20,2014-02-24,36.0
18,16,Previous,Engineering & Technical,Gem Plantations,Cyprus,Delivery Driver,Garment Quality Control;Tailoring;Inventory Management,2021-09-01,2025-07-24,46.0
19,16,Current,Engineering & Technical,Sri Solutions,Romania,Delivery Driver,Makeup Artistry;Barista Skills,2024-06-30,,
