PersonalID,QualificationType,CourseName,University,Year,Result
2,Diploma,Engineering Elite,University of Ruhuna,2016,First Class
3,Diploma,Engineering Premier,University of Moratuwa,2010,Second Upper
3,Diploma,Computer Science Global,University of Moratuwa,1988,First Class
10,BSc,Hospitality Premier,SLIIT,2003,Second Upper
24,BSc,Computer Science Tech,Eastern University,2007,Second Upper
26,BA,Nursing International,University of Colombo,1987,
37,BA,Business Premier,Open University of Sri Lanka,2005,Second Lower
41,BSc,Computer Science International,SLIIT,2004,Second Lower
54,BSc,Engineering Tech,Open University of Sri Lanka,1992,
60,BSc,Hospitality Tech,SLIIT,1994,Merit
62,BSc,Hospitality Elite,University of Colombo,2017,First Class
68,BSc,Nursing National,Open University of Sri Lanka,2003,Pass
75,MSc,Engineering Elite,Open University of Sri Lanka,2011,Second Upper
77,Diploma,Business Tech,University of Colombo,2004,First Class
81,MSc,Computer Science Tech,Open University of Sri Lanka,2020,Second Lower
96,BSc,Business Advanced,University of Sri Jayewardenepura,2011,Merit
102,Higher Diploma,Engineering Premier,University of Sri Jayewardenepura,2002,Second Lower
113,BA,Computer Science Tech,Eastern University,1990,Second Lower
125,Higher Diploma,Computer Science Global,University of Ruhuna,1983,First Class
133,Higher Diploma,Accounting Elite,University of Peradeniya,1997,Second Upper
134,Higher Diploma,Nursing Elite,Eastern University,2020,
142,BSc,Nursing National,Open University of Sri Lanka,2003,Second Upper
142,MSc,Engineering National,NSBM Green University,1984,Second Lower
143,MSc,Nursing Premier,SLIIT,2003,Second Upper
166,BA,Engineering Advanced,University of Colombo,1983,Second Lower
167,Diploma,Hospitality Global,SLIIT,2000,Pass
168,BSc,Hospitality National,NSBM Green University,1997,Pass
170,BSc,Accounting National,University of Sri Jayewardenepura,2004,Second Upper
170,MSc,Computer Science Elite,University of Peradeniya,2013,Second Lower
174,BA,Accounting International,NSBM Green University,1999,Pass
176,MSc,Nursing Premier,SLIIT,1985,Second Lower
176,MSc,Hospitality Tech,University of Kelaniya,1981,Pass
177,Diploma,Accounting National,University of Kelaniya,1999,Pass
177,MSc,Hospitality Advanced,Open University of Sri Lanka,2009,Merit
186,BSc,Hospitality Global,University of Colombo,2023,Pass
195,MSc,Engineering International,University of Peradeniya,2014,
213,BSc,Computer Science Advanced,University of Ruhuna,1982,Merit
222,MSc,Hospitality International,NSBM Green University,1998,Pass
224,Diploma,Engineering Premier,University of Sri Jayewardenepura,1995,Pass
227,BA,Computer Science Advanced,University of Sri Jayewardenepura,1983,Merit
229,BSc,Engineering National,NSBM Green University,2004,First Class
245,BA,Hospitality Global,NSBM Green University,1994,First Class
252,BA,Business Elite,NSBM Green University,2005,Merit
254,Diploma,Business National,SLIIT,2002,
254,MSc,Business Premier,Open University of Sri Lanka,2020,Second Lower
254,BSc,Computer Science Premier,Open University of Sri Lanka,1991,
257,BSc,Business Global,SLIIT,2003,Merit
261,BSc,Business Advanced,SLIIT,2002,Second Lower
261,MSc,Nursing Elite,University of Sri Jayewardenepura,2015,First Class
265,BA,Engineering Premier,University of Sri Jayewardenepura,2003,Second Lower
274,Higher Diploma,Computer Science Premier,NSBM Green University,2023,Second Lower
274,BA,Computer Science Elite,University of Moratuwa,2005,Second Lower
285,BA,Engineering Global,University of Colombo,1994,Pass
297,Higher Diploma,Hospitality Elite,Eastern University,2006,Pass
310,Higher Diploma,Accounting International,University of Colombo,1992,Merit
313,BA,Business Elite,NSBM Green University,2013,
317,BA,Computer Science International,University of Kelaniya,1989,First Class
317,BSc,Nursing Elite,University of Ruhuna,2023,First Class
326,Diploma,Hospitality Tech,SLIIT,2016,Second Upper
327,BSc,Computer Science Global,University of Moratuwa,1992,Second Upper
328,BSc,Accounting Elite,Open University of Sri Lanka,2011,Merit
329,MSc,Accounting International,SLIIT,1986,Pass
329,BSc,Accounting Tech,NSBM Green University,2013,Merit
