ContractID,ApplicationID,JobID,PersonalID,ContractNumber,ContractStartDate,ContractEndDate,RenewalEligible,ContractStatus,SignedDate,Remarks
1,2,946,1,C0000001,2025-05-12,2026-03-23,1,Active,2025-05-12,Fixed-Term
2,6,1281,2,C0000002,2025-11-04,2026-03-09,1,Active,2025-11-04,SLBFE Standard Contract
3,8,4413,4,C0000003,2026-04-18,2026-10-09,0,Active,2026-04-18,SLBFE Standard Contract
4,11,2257,5,C0000004,2026-02-05,2027-08-18,0,Active,2026-02-05,Fixed-Term
5,14,3347,5,C0000005,2025-12-22,2026-10-16,0,Active,2025-12-22,Fixed-Term
6,15,218,6,C0000006,2025-09-29,2026-06-21,1,Active,2025-09-29,Travel Allowance
7,16,921,6,C0000007,2025-01-09,2027-06-27,1,Active,2025-01-09,Fixed-Term
8,19,1845,8,C0000008,2025-08-03,2025-08-26,0,Active,2025-08-03,Fixed-Term
9,24,1481,9,C0000009,2026-07-03,2026-12-04,0,Active,2026-07-03,Fixed-Term
10,25,610,10,C0000010,2025-12-23,2027-02-06,1,Active,2025-12-23,Fixed-Term
11,26,1267,11,C0000011,2026-06-21,2026-07-23,1,Active,2026-06-21,Fixed-Term
12,30,553,12,C0000012,2026-03-18,2027-03-05,1,Active,2026-03-18,Travel Allowance
13,32,4816,13,C0000013,2025-11-08,2025-11-21,0,Active,2025-11-08,Travel Allowance
14,36,1628,14,C0000014,2026-07-01,2026-12-04,0,Active,2026-07-01,Travel Allowance
15,37,326,15,C0000015,2025-08-22,2027-07-23,1,Active,2025-08-22,Housing Provided
16,38,333,15,C0000016,2026-02-08,2026-06-13,1,Active,2026-02-08,SLBFE Standard Contract
17,39,1660,15,C0000017,2024-04-02,2027-06-22,1,Active,2024-04-02,SLBFE Standard Contract
18,43,396,17,C0000018,2025-10-17,2026-10-18,1,Active,2025-10-17,Housing Provided
19,45,916,17,C0000019,2025-09-22,2026-04-15,0,Active,2025-09-22,Housing Provided
20,53,3337,22,C0000020,2025-09-02,2025-11-21,0,Active,2025-09-02,SLBFE Standard Contract
21,55,28,23,C0000021,2026-03-28,2027-03-03,1,Active,2026-03-28,Travel Allowance
22,56,1411,24,C0000022,2025-07-09,2025-09-25,1,Active,2025-07-09,Housing Provided
23,57,54,24,C0000023,2025-03-19,2026-06-29,0,Active,2025-03-19,Fixed-Term
24,59,3580,25,C0000024,2026-05-08,2026-09-28,0,Active,2026-05-08,Fixed-Term
25,64,3954,25,C0000025,2025-07-15,2026-03-27,1,Active,2025-07-15,Housing Provided
26,68,1310,26,C0000026,2025-04-13,2027-05-24,1,Active,2025-04-13,Travel Allowance
27,71,1133,27,C0000027,2024-06-13,2025-09-01,1,Active,2024-06-13,Travel Allowance
28,73,3316,27,C0000028,2025-12-31,2026-12-10,0,Active,2025-12-31,SLBFE Standard Contract
