JobID,EmployerName,Country,EmploymentSector,JobTitle,PostedDate
1,Tea Plantations,United Arab Emirates,Manufacturing,Salesperson,2024-04-07
2,Ceylon Enterprises,Kuwait,Hospitality & Tourism,Accountant,2025-05-05
3,Lanka Group,Malaysia,Construction,Construction Helper,2024-05-15
4,Construction Plantations,Qatar,Construction,Construction Supervisor,2024-01-13
5,Tech Pvt,Saudi Arabia,Healthcare & Nursing,Agricultural Worker,2025-07-22
6,Tech Corp,Qatar,Hospitality & Tourism,Laundry Worker,2025-01-02
7,Island Solutions,Saudi Arabia,Construction,Construction Helper,2023-11-05
8,Island Enterprises,United Arab Emirates,Hospitality & Tourism,House Driver,2023-12-29
9,Island Inc,South Korea,Domestic Services,Sewing Machine Operator,2024-06-13
10,Apparel Pvt,Cyprus,Healthcare & Nursing,Cook,2024-12-04
11,Island Inc,Oman,Construction,Construction Supervisor,2024-05-09
12,Construction Group,United Arab Emirates,Engineering & Technical,Shuttering Carpenter,2024-10-10
13,Hotel Co,Saudi Arabia,Healthcare & Nursing,Mason,2023-10-06
14,Hotel Inc,Maldives,Domestic Services,General Labourer,2024-03-20
15,Apparel Inc,Qatar,Construction,Construction Supervisor,2024-05-15
16,Apparel Enterprises,United Arab Emirates,Retail & Sales,Welder,2023-10-18
17,Apparel Ltd,Saudi Arabia,IT & Professional Services,Receptionist,2024-02-17
18,Sri Solutions,Qatar,Domestic Services,Laundry Worker,2024-10-11
19,Tech Pvt,Canada,Retail & Sales,Construction Helper,2023-12-27
20,Lanka Co,Hong Kong,Manufacturing,Security Guard,2024-05-31
21,Construction Plantations,Qatar,Security Services,Kitchen Helper,2025-07-25
22,Ceylon Ltd,United Kingdom,Domestic Services,Sewing Machine Operator,2024-03-11
23,Tea Ltd,United Kingdom,Garment & Apparel,Receptionist,2024-07-16
24,Gem Ltd,United Arab Emirates,Garment & Apparel,Delivery Driver,2023-10-30
25,Hotel Corp,Jordan,Engineering & Technical,Logistics Coordinator,2024-05-04
26,Gem Plantations,Qatar,Driving & Transportation,Heavy Vehicle Operator,2024-07-30
27,Island Corp,United Arab Emirates,Domestic Services,Delivery Driver,2025-03-25
28,Island Group,Kuwait,Construction,Construction Supervisor,2023-11-11
29,Tech Enterprises,United Arab Emirates,Domestic Services,Domestic Worker,2024-08-03
30,Tea Enterprises,Romania,Hospitality & Tourism,Beautician,2024-12-26
31,Apparel Solutions,Kuwait,Domestic Services,Accountant,2024-09-19
32,Apparel Corp,Kuwait,Driving & Transportation,Welder,2024-02-24
33,Sri Ltd,Saudi Arabia,Domestic Services,Caregiver,2024-07-03
34,Apparel Inc,Qatar,Domestic Services,Barista,2025-02-16
35,Lanka Group,Kuwait,Domestic Services,Factory Worker,2024-11-10
36,Construction Plantations,Saudi Arabia,Domestic Services,Nurse,2023-08-30
37,Construction Enterprises,Qatar,Healthcare & Nursing,Accountant,2024-04-21
38,Tea Co,Qatar,Construction,Construction Helper,2024-01-20
39,Tea Co,Malaysia,Domestic Services,Carpenter,2024-02-29
