JobID,QualificationType,FieldOfStudy,MinimumGrade,OtherDetails
1,O/L,General,Merit,
1,A/L,,Merit,
1,Master's Degree,Arts,Merit,
2,Bachelor's Degree,,Merit,
2,O/L,Arts,,
2,A/L,,Distinction,
3,O/L,Technology,Pass,
4,Master's Degree,Science,Distinction,
4,O/L,Science,Distinction,
5,Bachelor's Degree,Technology,,
5,Master's Degree,Technology,Pass,
5,A/L,Technology,Distinction,
6,A/L,Technology,,
6,O/L,Commerce,Merit,
6,Bachelor's Degree,Technology,Merit,
7,Bachelor's Degree,Science,Pass,
7,Master's Degree,Arts,,
8,O/L,,Merit,
8,A/L,Science,Distinction,
9,Master's Degree,,,
9,Bachelor's Degree,Science,Distinction,
9,O/L,General,Pass,
10,O/L,Science,,
10,A/L,,Distinction,
11,Master's Degree,Technology,,
11,Bachelor's Degree,Arts,Distinction,
12,O/L,Technology,Merit,
13,Bachelor's Degree,Commerce,Distinction,
13,O/L,Science,,
13,A/L,,Pass,
14,A/L,General,Distinction,
14,Master's Degree,Technology,Pass,
15,Bachelor's Degree,Commerce,Pass,
15,O/L,Technology,,
16,Bachelor's Degree,,Distinction,
17,Master's Degree,Technology,Pass,
18,Bachelor's Degree,Commerce,Distinction,
19,O/L,Science,Merit,
20,O/L,General,Merit,
21,Bachelor's Degree,Science,Distinction,
21,A/L,,Distinction,
21,O/L,Science,Merit,
22,Bachelor's Degree,Arts,Merit,
22,A/L,Technology,,
22,O/L,General,Distinction,
23,Master's Degree,General,,
23,Bachelor's Degree,Commerce,Merit,
23,O/L,Science,Merit,
24,Bachelor's Degree,Science,Merit,
25,O/L,Commerce,Pass,
25,A/L,,Merit,
25,Bachelor's Degree,Arts,,
26,A/L,Technology,,
27,Master's Degree,Technology,Distinction,
27,Bachelor's Degree,Technology,Pass,
28,Bachelor's Degree,,Pass,
29,Bachelor's Degree,General,Merit,
30,O/L,,Distinction,
30,Bachelor's Degree,Technology,Pass,
30,A/L,Science,Merit,
31,Master's Degree,Science,,
31,O/L,Technology,Distinction,
32,O/L,,Distinction,
33,Bachelor's Degree,General,Pass,
33,Master's Degree,Commerce,Distinction,
34,Master's Degree,Arts,,
35,Bachelor's Degree,Commerce,Merit,
35,Master's Degree,General,Merit,
36,A/L,Technology,Merit,
36,O/L,General,,
36,Bachelor's Degree,Science,Distinction,
37,Master's Degree,Arts,Pass,
38,Master's Degree,,Merit,
39,A/L,Science,Distinction,
40,Bachelor's Degree,Arts,Distinction,
40,A/L,,Pass,
40,O/L,Commerce,Distinction,
41,A/L,Technology,Distinction,
41,O/L,Arts,Distinction,
42,Master's Degree,Science,Pass,
42,A/L,Technology,Distinction,
43,Bachelor's Degree,,Pass,
43,O/L,,Pass,
43,Master's Degree,General,Pass,
44,Bachelor's Degree,Science,,
44,A/L,Technology,Distinction,
45,Bachelor's Degree,Commerce,Distinction,
45,Master's Degree,Arts,Distinction,
46,Bachelor's Degree,Commerce,Pass,
46,O/L,Commerce,Distinction,
46,Master's Degree,Technology,Pass,
47,O/L,Commerce,Merit,
48,Bachelor's Degree,Commerce,Merit,
48,A/L,,Merit,
48,O/L,,,
49,Bachelor's Degree,Commerce,Merit,
50,Bachelor's Degree,Commerce,Pass,
50,Master's Degree,Science,Merit,
51,Master's Degree,Arts,Distinction,
52,A/L,Commerce,Merit,
52,Master's Degree,Science,Pass,
52,O/L,,Distinction,
53,Master's Degree,Science,Pass,
53,Bachelor's Degree,Technology,Merit,
53,A/L,Arts,Pass,
54,A/L,Commerce,Pass,
54,Master's Degree,Commerce,Distinction,
54,O/L,Technology,Distinction,
55,Master's Degree,Arts,Distinction,
55,O/L,General,,
55,A/L,Technology,Pass,
56,Bachelor's Degree,Technology,,
57,Master's Degree,Arts,Merit,
58,Bachelor's Degree,General,Merit,
58,Master's Degree,,Distinction,
59,A/L,General,Pass,
59,Bachelor's Degree,,,
59,Master's Degree,Commerce,,
60,O/L,Science,Merit,
60,Master's Degree,General,Merit,
61,O/L,Commerce,Pass,
61,A/L,Commerce,Distinction,
61,Master's Degree,General,,
62,A/L,Technology,Merit,
63,Bachelor's Degree,Technology,,
63,A/L,Commerce,Pass,
64,A/L,General,Merit,
64,Master's Degree,Commerce,Distinction,
64,Bachelor's Degree,Science,Pass,
65,O/L,,,
66,Master's Degree,Arts,Distinction,
66,Bachelor's Degree,Science,Distinction,
66,A/L,Commerce,Distinction,
67,Master's Degree,,Merit,
68,O/L,Science,,
68,A/L,General,Pass,
68,Master's Degree,General,,
69,Bachelor's Degree,Arts,,
69,O/L,Science,Pass,
69,Master's Degree,Science,,
70,O/L,Science,Distinction,
71,O/L,Arts,Distinction,
72,Master's Degree,Commerce,Distinction,
73,O/L,Technology,,
73,Master's Degree,Commerce,,
74,O/L,,,
75,A/L,General,Pass,
75,Master's Degree,Arts,Merit,
76,A/L,Technology,,
76,Bachelor's Degree,General,Merit,
77,Master's Degree,,,
78,A/L,General,Distinction,
78,O/L,General,Merit,
79,A/L,Arts,,
79,Master's Degree,General,,
79,O/L,,,
80,O/L,General,,
80,Bachelor's Degree,General,Merit,
81,A/L,,Pass,
81,Bachelor's Degree,Commerce,,
81,O/L,Science,,
82,Master's Degree,Commerce,Pass,
82,O/L,Arts,Distinction,
83,A/L,General,Pass,
84,O/L,Science,Pass,
84,A/L,Technology,Merit,
84,Bachelor's Degree,Commerce,Merit,
85,Master's Degree,Technology,Merit,
85,O/L,Science,Distinction,
86,Master's Degree,Arts,,
87,O/L,Technology,Merit,
88,O/L,Commerce,Distinction,
89,O/L,Arts,Distinction,
89,Bachelor's Degree,,,
89,A/L,,Distinction,
90,Bachelor's Degree,Science,Distinction,
90,A/L,Technology,Distinction,
91,A/L,Arts,Pass,
91,Bachelor's Degree,Technology,,
91,O/L,,,
92,Bachelor's Degree,,Merit,
92,Master's Degree,Commerce,Merit,
92,O/L,Commerce,,
93,Master's Degree,,Merit,
93,O/L,Arts,Distinction,
93,A/L,General,Pass,
94,A/L,Science,,
94,Master's Degree,Arts,Merit,
94,O/L,General,,
95,Master's Degree,Arts,Pass,
96,Master's Degree,General,,
96,Bachelor's Degree,Arts,Merit,
97,Master's Degree,Arts,Merit,
97,A/L,General,Distinction,
98,O/L,Science,Pass,
98,Master's Degree,General,Merit,
98,A/L,Arts,Merit,
99,Bachelor's Degree,Arts,Merit,
99,A/L,Technology,Merit,
100,Master's Degree,Commerce,Pass,
101,Bachelor's Degree,General,,
102,A/L,Arts,,
102,Master's Degree,Commerce,Distinction,
102,Bachelor's Degree,Science,Merit,
103,A/L,Science,Pass,
103,O/L,Science,Merit,
103,Bachelor's Degree,Commerce,Pass,
104,Bachelor's Degree,,Pass,
104,O/L,General,,
104,Master's Degree,Science,Merit,
105,O/L,Arts,Pass,
105,Master's Degree,Science,Pass,
105,A/L,Technology,Merit,
106,O/L,Technology,Pass,
107,A/L,Commerce,Distinction,
108,A/L,Arts,Pass,
109,O/L,Science,,
110,A/L,General,Merit,
111,O/L,General,,
112,O/L,Science,,
112,Bachelor's Degree,,,
112,Master's Degree,Science,Distinction,
113,O/L,General,,
114,O/L,Technology,Distinction,
114,Bachelor's Degree,Technology,,
114,Master's Degree,Commerce,Merit,
115,Bachelor's Degree,Arts,Distinction,
115,Master's Degree,Arts,Pass,
115,O/L,Technology,,
116,O/L,General,Merit,
116,Bachelor's Degree,General,Distinction,
116,Master's Degree,Arts,Merit,
117,Bachelor's Degree,Science,,
118,A/L,,,
119,O/L,Arts,Merit,
119,Master's Degree,Arts,Merit,
119,A/L,Science,Pass,
120,A/L,General,Merit,
120,Bachelor's Degree,Science,,
121,O/L,General,Pass,
122,Bachelor's Degree,Arts,Distinction,
123,Master's Degree,,,
123,Bachelor's Degree,,,
123,A/L,General,,
124,Bachelor's Degree,,Pass,
125,A/L,Commerce,,
126,A/L,,Merit,
127,Bachelor's Degree,Commerce,Pass,
127,O/L,Arts,Pass,
127,Master's Degree,Arts,,
128,A/L,Arts,,
128,Bachelor's Degree,Science,Distinction,
129,Master's Degree,Commerce,Merit,
130,A/L,Technology,Pass,
131,A/L,,,
131,Master's Degree,Arts,Distinction,
132,Bachelor's Degree,,,
132,Master's Degree,General,Pass,
132,O/L,Science,Merit,
133,Bachelor's Degree,Arts,Distinction,
133,Master's Degree,,,
134,Bachelor's Degree,Commerce,,
135,A/L,Science,,
135,Master's Degree,Commerce,Distinction,
136,Master's Degree,Technology,,
137,Master's Degree,General,,
138,A/L,Arts,Merit,
138,Bachelor's Degree,Technology,,
139,O/L,Science,Pass,
140,Bachelor's Degree,,,
140,Master's Degree,,Distinction,
141,A/L,Arts,Merit,
141,Bachelor's Degree,Commerce,,
141,Master's Degree,Commerce,,
142,Bachelor's Degree,General,Pass,
142,A/L,Commerce,Distinction,
142,O/L,Science,,
143,Bachelor's Degree,,Pass,
143,O/L,Science,Distinction,
143,Master's Degree,Technology,Merit,
144,Master's Degree,General,Distinction,
144,A/L,,Merit,
144,Bachelor's Degree,Commerce,Merit,
145,O/L,Science,Distinction,
146,Master's Degree,Arts,Pass,
146,Bachelor's Degree,Commerce,Pass,
146,O/L,,Distinction,
147,Master's Degree,Commerce,Merit,
148,O/L,General,Pass,
149,O/L,Science,Pass,
150,Master's Degree,Technology,Merit,
150,Bachelor's Degree,Arts,,
150,O/L,Science,Pass,
151,A/L,,Merit,
151,Master's Degree,,Merit,
151,Bachelor's Degree,Science,Pass,
152,O/L,Arts,Pass,
152,Bachelor's Degree,,Distinction,
152,A/L,Arts,Pass,
153,A/L,General,Merit,
153,Bachelor's Degree,Arts,Merit,
154,A/L,Commerce,Distinction,
155,A/L,Science,Pass,
155,Master's Degree,Technology,Pass,
155,O/L,Science,Distinction,
156,Master's Degree,Technology,Pass,
156,Bachelor's Degree,Arts,Merit,
157,Bachelor's Degree,Arts,Distinction,
158,Bachelor's Degree,Commerce,Distinction,
159,O/L,Technology,Pass,
160,O/L,Arts,Merit,
161,A/L,Arts,Pass,
162,O/L,Commerce,Merit,
163,Master's Degree,,Distinction,
163,Bachelor's Degree,Technology,,
163,O/L,Science,Merit,
164,Master's Degree,,Merit,
164,O/L,Science,,
164,Bachelor's Degree,,,
165,Bachelor's Degree,,,
165,O/L,,Pass,
166,A/L,Technology,,
167,Bachelor's Degree,,,
167,O/L,Technology,Pass,
167,A/L,Science,,
168,A/L,Technology,,
169,Bachelor's Degree,,,
170,Master's Degree,Science,Merit,
170,O/L,Commerce,Distinction,
171,Master's Degree,General,Pass,
171,Bachelor's Degree,General,,
171,A/L,Technology,Merit,
172,Bachelor's Degree,Technology,Pass,
172,O/L,,,
173,Bachelor's Degree,Technology,Merit,
174,Bachelor's Degree,Arts,Distinction,
174,A/L,Technology,Distinction,
174,Master's Degree,General,Pass,
175,O/L,Science,,
176,O/L,Science,,
176,Bachelor's Degree,,Pass,
176,A/L,Science,Merit,
177,Bachelor's Degree,Technology,,
178,O/L,General,Pass,
179,A/L,Science,Pass,
179,Bachelor's Degree,General,Pass,
179,O/L,General,Pass,
180,Master's Degree,Technology,Pass,
180,A/L,Commerce,Merit,
180,Bachelor's Degree,,,
181,A/L,,Distinction,
182,Master's Degree,Commerce,Distinction,
182,A/L,Science,,
182,Bachelor's Degree,Commerce,,
183,Master's Degree,Science,,
183,Bachelor's Degree,Commerce,Merit,
183,A/L,Arts,Distinction,
184,A/L,General,Pass,
184,O/L,Arts,Distinction,
184,Master's Degree,General,Pass,
185,A/L,,Pass,
185,O/L,Science,,
186,O/L,Commerce,Merit,
186,Bachelor's Degree,Science,Pass,
187,Bachelor's Degree,Commerce,Merit,
187,A/L,Commerce,,
188,O/L,Science,,
188,Master's Degree,General,,
189,A/L,Technology,,
189,O/L,,Merit,
190,Bachelor's Degree,,Merit,
190,A/L,General,Distinction,
190,Master's Degree,Commerce,Pass,
191,Master's Degree,Commerce,Pass,
191,A/L,Commerce,Distinction,
191,O/L,General,Pass,
192,Master's Degree,Technology,Pass,
192,O/L,Arts,,
192,A/L,Science,,
193,Master's Degree,Science,,
193,Bachelor's Degree,Arts,,
194,Bachelor's Degree,Arts,Pass,
195,O/L,,Merit,
195,A/L,,Distinction,
196,O/L,Arts,Merit,
196,Master's Degree,,Pass,
196,A/L,Technology,Pass,
197,Bachelor's Degree,Science,,
197,Master's Degree,General,Pass,
197,A/L,Technology,Merit,
198,O/L,Commerce,Distinction,
198,Bachelor's Degree,Arts,Pass,
198,Master's Degree,Arts,,
199,Bachelor's Degree,,Distinction,
200,A/L,Arts,Merit,
201,A/L,Commerce,Pass,
202,O/L,Arts,Distinction,
203,Master's Degree,Arts,Pass,
204,A/L,Technology,Pass,
205,Master's Degree,,Pass,
206,O/L,Commerce,Distinction,
206,Master's Degree,Science,,
206,Bachelor's Degree,,Merit,
207,Master's Degree,Arts,,
208,O/L,Science,Pass,
208,Bachelor's Degree,Technology,,
208,A/L,Arts,Distinction,
209,Master's Degree,Science,,
210,Bachelor's Degree,General,Merit,
210,Master's Degree,General,Distinction,
210,O/L,Commerce,Pass,
211,Bachelor's Degree,Commerce,Merit,
211,A/L,Commerce,Merit,
211,O/L,,Pass,
212,Master's Degree,Arts,,
212,O/L,Science,Pass,
212,Bachelor's Degree,Arts,Distinction,
213,Bachelor's Degree,General,Pass,
214,O/L,Commerce,Merit,
214,Bachelor's Degree,Commerce,Pass,
215,O/L,Technology,Merit,
215,Master's Degree,,Distinction,
215,A/L,,,
216,A/L,Technology,Distinction,
216,O/L,Commerce,Distinction,
216,Bachelor's Degree,Commerce,Distinction,
217,Bachelor's Degree,Commerce,Merit,
217,Master's Degree,Science,Distinction,
217,O/L,,Pass,
218,A/L,Arts,Merit,
219,O/L,,,
219,Bachelor's Degree,Technology,Distinction,
220,A/L,,Merit,
220,Master's Degree,Arts,Distinction,
221,Bachelor's Degree,Science,,
221,O/L,,Merit,
221,Master's Degree,Science,Merit,
222,O/L,,Pass,
222,A/L,Technology,Pass,
223,Master's Degree,Commerce,Merit,
223,Bachelor's Degree,,Merit,
224,Master's Degree,,Distinction,
225,Bachelor's Degree,General,,
226,Bachelor's Degree,Commerce,,
226,O/L,Technology,Pass,
227,A/L,Technology,,
227,O/L,,Merit,
227,Master's Degree,Commerce,,
228,Bachelor's Degree,,Merit,
229,O/L,Technology,Merit,
229,A/L,,Merit,
229,Bachelor's Degree,,,
230,A/L,Arts,Pass,
230,O/L,Arts,,
230,Master's Degree,General,Distinction,
231,Master's Degree,Technology,,
232,A/L,,Merit,
232,Bachelor's Degree,General,,
232,O/L,Technology,Merit,
233,O/L,Arts,Pass,
233,Master's Degree,Technology,Distinction,
234,Master's Degree,Arts,,
234,A/L,Technology,Merit,
235,Bachelor's Degree,Technology,,
235,A/L,Arts,Distinction,
235,O/L,General,Merit,
236,Master's Degree,General,Distinction,
236,A/L,Commerce,Distinction,
237,Master's Degree,General,Merit,
237,Bachelor's Degree,,Pass,
238,Bachelor's Degree,Science,Pass,
238,Master's Degree,General,,
239,Bachelor's Degree,Commerce,,
239,O/L,Commerce,Merit,
240,O/L,,Pass,
241,A/L,Science,Pass,
241,Bachelor's Degree,General,Pass,
241,Master's Degree,General,Merit,
242,O/L,Science,Distinction,
243,A/L,Technology,Distinction,
243,Master's Degree,Science,Distinction,
244,O/L,,Distinction,
245,Master's Degree,Science,Distinction,
246,Bachelor's Degree,General,Distinction,
247,A/L,Technology,Pass,
247,Master's Degree,General,,
248,Bachelor's Degree,Technology,Pass,
248,O/L,Arts,Merit,
249,Bachelor's Degree,Commerce,,
249,O/L,Science,Merit,
249,A/L,,Merit,
250,A/L,Arts,Distinction,
250,Master's Degree,,Distinction,
250,O/L,Technology,Distinction,
251,A/L,Science,Distinction,
251,O/L,Commerce,Distinction,
252,Bachelor's Degree,Science,,
252,Master's Degree,Commerce,Pass,
252,O/L,Commerce,Merit,
253,O/L,Technology,,
253,A/L,,,
253,Master's Degree,Arts,Pass,
254,Bachelor's Degree,Arts,Merit,
255,O/L,,,
256,O/L,General,,
256,Bachelor's Degree,,Pass,
256,Master's Degree,Arts,Pass,
257,O/L,Science,Pass,
258,O/L,,Merit,
