JobID,SkillName,ProficiencyLevel
1,Makeup Artistry,Intermediate
1,Garment Quality Control,Basic
1,Nursing,Intermediate
2,Customer Service,Advanced
2,Packing,Basic
2,Retail Sales,Basic
3,Housekeeping,Intermediate
4,Bookkeeping,Advanced
4,Administrative Support,Intermediate
4,Plumbing,Basic
5,Nursing,Intermediate
6,Laundry,Intermediate
7,Bar Bending,Basic
7,CCTV Monitoring,Basic
7,Food Preparation,Basic
7,Scaffolding,Intermediate
8,Caregiving,Basic
8,Cooking,Intermediate
8,Driving,Basic
8,Customer Service,Intermediate
8,Food Preparation,Intermediate
9,Sewing,Intermediate
10,Nursing,Advanced
11,Construction Supervision,Basic
11,Elderly Care,Intermediate
11,Data Entry,Intermediate
12,Quality Inspection,Intermediate
13,Nursing,Intermediate
14,Construction Supervision,Basic
14,Concrete Mixing,Advanced
14,Security Guarding,Intermediate
14,Farming,Intermediate
14,Childcare,Advanced
15,IT Skills,Basic
15,Bar Bending,Advanced
16,Hairdressing,Intermediate
16,Heavy Vehicle Driving,Advanced
16,First Aid,Basic
16,Sewing,Advanced
16,MS Office,Intermediate
17,Farming,Basic
17,Carpentry,Basic
17,Bookkeeping,Advanced
17,Fishing,Intermediate
18,Laundry,Advanced
19,Horticulture,Intermediate
19,Delivery Driving,Intermediate
19,Patient Care,Advanced
19,Accounting,Intermediate
19,Retail Sales,Basic
20,Kitchen Assistance,Basic
20,Concrete Mixing,Basic
20,Caregiving,Advanced
20,Horticulture,Advanced
21,Patient Care,Intermediate
21,Barista Skills,Basic
21,Inventory Management,Intermediate
21,Hairdressing,Intermediate
22,Sewing,Advanced
23,MS Office,Basic
23,Barista Skills,Intermediate
23,Facility Maintenance,Basic
23,Nursing,Basic
24,Driving,Intermediate
24,Forklift Operation,Advanced
24,Electrical,Advanced
24,Elderly Care,Intermediate
25,Barista Skills,Basic
25,IT Skills,Basic
25,Electrical,Basic
25,Guest Relations,Advanced
26,Driving,Advanced
27,Quality Inspection,Basic
28,Scaffolding,Intermediate
28,MS Office,Intermediate
28,Makeup Artistry,Advanced
28,Logistics Coordination,Basic
28,Excel,Basic
29,Excel,Intermediate
30,Packing,Intermediate
31,Carpentry,Intermediate
31,Plumbing,Advanced
32,Driving,Basic
33,Horticulture,Advanced
33,Patient Care,Intermediate
33,Hotel Housekeeping,Basic
33,Sewing,Advanced
33,Scaffolding,Basic
34,Packing,Basic
35,Facility Maintenance,Advanced
36,Tiling,Basic
36,Barista Skills,Advanced
36,Retail Sales,Advanced
37,Nursing,Basic
38,Housekeeping,Basic
38,Hotel Housekeeping,Intermediate
38,Tiling,Basic
38,Sewing,Intermediate
39,Excel,Intermediate
39,CCTV Monitoring,Advanced
39,Plumbing,Basic
39,Nursing,Basic
39,Hotel Housekeeping,Advanced
40,Data Entry,Intermediate
40,Welding,Intermediate
40,Electrical,Intermediate
40,Forklift Operation,Intermediate
41,Electrical,Basic
41,Medical Assistance,Intermediate
42,Customer Service,Advanced
42,Cooking,Advanced
42,Teaching Assistance,Advanced
42,Plumbing,Intermediate
42,Quality Inspection,Basic
43,Elderly Care,Advanced
43,Housekeeping,Basic
43,CCTV Monitoring,Basic
44,Tiling,Advanced
45,Childcare,Advanced
45,Horticulture,Intermediate
45,Tailoring,Advanced
45,Farming,Basic
45,Packing,Advanced
46,Customer Service,Intermediate
46,Laundry,Intermediate
47,Inventory Management,Intermediate
47,Beauty Therapy,Intermediate
47,First Aid,Advanced
47,Painting,Advanced
47,Nursing,Basic
48,First Aid,Intermediate
48,Welding,Basic
48,Livestock Management,Intermediate
49,Sewing,Intermediate
49,Plumbing,Intermediate
49,Administrative Support,Advanced
49,Shuttering Carpentry,Advanced
50,Horticulture,Advanced
50,Laundry,Basic
51,Driving,Basic
52,Front Desk Operations,Advanced
52,Housekeeping,Advanced
52,Garment Quality Control,Advanced
52,Excel,Advanced
52,Janitorial Skills,Advanced
53,Heavy Vehicle Driving,Basic
53,Barista Skills,Basic
53,Forklift Operation,Advanced
54,Sewing,Intermediate
55,Bar Bending,Intermediate
56,Kitchen Assistance,Intermediate
56,Childcare,Basic
57,Beauty Therapy,Basic
57,Welding,Basic
58,Janitorial Skills,Advanced
58,Retail Sales,Advanced
58,Makeup Artistry,Basic
58,Cooking,Intermediate
58,Driving,Basic
59,Quality Inspection,Intermediate
59,Medical Assistance,Intermediate
59,Health Aide,Advanced
59,Beauty Therapy,Basic
59,Excel,Intermediate
60,Customer Service,Basic
60,Patient Care,Basic
60,Barista Skills,Intermediate
61,Makeup Artistry,Basic
61,Bookkeeping,Basic
61,Electrical,Basic
62,Data Entry,Advanced
62,Banquet Service,Intermediate
62,Concrete Mixing,Basic
62,Medical Assistance,Advanced
62,Health Aide,Advanced
63,Nursing,Advanced
64,Painting,Intermediate
64,Nursing,Basic
64,Laundry,Intermediate
64,Excel,Basic
65,Delivery Driving,Intermediate
