PersonalID,LanguageName,ProficiencyLevel,ProofOfProficiency
1,Arabic,Advanced,
1,Sinhala,Fluent,
2,English,Fluent,Yes
3,Sinhala,Advanced,
3,Tamil,Intermediate,
3,Hebrew,Basic,
3,Tamil,Advanced,
4,Tamil,Basic,
4,Hindi,Intermediate,
5,Sinhala,Intermediate,
5,English,Intermediate,
6,Sinhala,Basic,
6,Tamil,Basic,
7,Arabic,Advanced,Yes
7,Arabic,Intermediate,
8,English,Basic,
9,Arabic,Basic,
10,English,Basic,
11,Korean,Intermediate,
11,English,Intermediate,
11,Tamil,Advanced,No
11,Sinhala,Fluent,No
12,Hindi,Advanced,Yes
12,English,Basic,
12,Japanese,Intermediate,
12,Tamil,Advanced,Yes
13,Hebrew,Basic,
13,Tamil,Basic,
14,Tamil,Advanced,Yes
14,Hindi,Intermediate,
14,English,Basic,
15,Arabic,Intermediate,
15,Japanese,Basic,
16,Korean,Intermediate,
16,Sinhala,Basic,
16,Arabic,Basic,
17,Korean,Intermediate,
17,Korean,Basic,
17,English,Basic,
17,English,Basic,
18,English,Intermediate,
18,Hebrew,Intermediate,
18,English,Advanced,
19,Arabic,Basic,
19,English,Fluent,No
20,Japanese,Basic,
20,Hebrew,Intermediate,
21,Hebrew,Basic,
22,English,Advanced,
23,English,Advanced,Yes
24,English,Intermediate,
24,Japanese,Advanced,Yes
24,English,Intermediate,
25,Hebrew,Basic,
26,English,Advanced,Yes
27,English,Intermediate,
27,Hebrew,Advanced,No
27,English,Advanced,No
28,English,Basic,
29,Tamil,Intermediate,
30,Arabic,Advanced,Yes
30,Hebrew,Intermediate,
31,Japanese,Advanced,Yes
31,Sinhala,Advanced,No
31,Hebrew,Fluent,
31,Arabic,Intermediate,
32,Hebrew,Fluent,No
32,Hindi,Basic,
32,Tamil,Basic,
33,Korean,Advanced,
34,English,Basic,
35,German,Basic,
35,English,Basic,
36,Tamil,Basic,
36,Tamil,Basic,
36,Tamil,Basic,
37,Arabic,Advanced,No
37,Tamil,Basic,
38,Arabic,Intermediate,
38,Arabic,Basic,
38,Tamil,Intermediate,
38,English,Intermediate,
39,Arabic,Basic,
40,Arabic,Advanced,
41,Tamil,Advanced,No
41,English,Basic,
41,English,Fluent,Yes
42,Arabic,Intermediate,
42,Tamil,Intermediate,
43,Italian,Intermediate,
44,English,Intermediate,
45,English,Basic,
45,Tamil,Intermediate,
45,French,Intermediate,
45,Arabic,Intermediate,
46,Tamil,Advanced,
46,Hebrew,Basic,
47,Japanese,Fluent,No
48,Hebrew,Intermediate,
48,Arabic,Basic,
48,Arabic,Advanced,Yes
48,Arabic,Fluent,No
49,Arabic,Basic,
49,Italian,Intermediate,
50,Arabic,Advanced,
50,Korean,Basic,
51,Hindi,Advanced,
52,Tamil,Basic,
52,Tamil,Intermediate,
53,Sinhala,Basic,
53,Tamil,Fluent,No
54,Hindi,Advanced,Yes
54,Arabic,Intermediate,
54,Arabic,Intermediate,
55,Arabic,Intermediate,
56,Hindi,Advanced,Yes
57,Arabic,Advanced,No
57,Tamil,Advanced,No
58,English,Fluent,Yes
