PersonalID,ExamName,SubjectStream,Year,Subject1,Result1,Subject2,Result2,Subject3,Result3,Subject4,Result4
1,ALevel,Science,2010,Science Subject 2,W,Science Subject 3,B,Science Subject 4,B,Science Subject 1,S
2,ALevel,Commerce,1992,Commerce Subject 3,W,Commerce Subject 2,C,Commerce Subject 4,B,,
3,ALevel,Science,1981,Science Subject 1,F,Science Subject 3,A,Science Subject 4,B,Science Subject 2,S
5,ALevel,Science,1989,Science Subject 4,A,Science Subject 3,C,Science Subject 2,S,,
8,ALevel,Science,2024,Science Subject 1,C,Science Subject 3,B,Science Subject 2,W,Science Subject 4,F
10,ALevel,Commerce,2008,Commerce Subject 4,F,Commerce Subject 3,W,Commerce Subject 1,A,Commerce Subject 2,B
12,ALevel,Commerce,2001,Commerce Subject 1,W,Commerce Subject 2,F,Commerce Subject 3,W,Commerce Subject 4,F
15,ALevel,Technology,2008,Technology Subject 2,S,Technology Subject 1,A,Technology Subject 3,A,,
17,ALevel,Technology,2001,Technology Subject 2,S,Technology Subject 1,F,Technology Subject 4,W,Technology Subject 3,A
19,ALevel,Commerce,2017,Commerce Subject 3,W,Commerce Subject 2,F,Commerce Subject 1,S,,
23,ALevel,Technology,2017,Technology Subject 1,S,Technology Subject 3,S,Technology Subject 4,A,Technology Subject 2,C
24,ALevel,Science,2005,Science Subject 1,S,Science Subject 2,C,Science Subject 4,B,Science Subject 3,W
26,ALevel,Science,2016,Science Subject 1,F,Science Subject 2,W,Science Subject 3,A,Science Subject 4,C
31,ALevel,Technology,2005,Technology Subject 3,C,Technology Subject 4,B,Technology Subject 2,A,Technology Subject 1,W
37,ALevel,Commerce,1994,Commerce Subject 1,A,Commerce Subject 3,C,Commerce Subject 4,A,,
38,ALevel,Technology,1997,Technology Subject 1,C,Technology Subject 2,B,Technology Subject 3,B,Technology Subject 4,W
41,ALevel,Commerce,1982,Commerce Subject 2,B,Commerce Subject 3,S,Commerce Subject 1,W,,
46,ALevel,Technology,1988,Technology Subject 4,B,Technology Subject 2,B,Technology Subject 1,S,Technology Subject 3,F
47,ALevel,Technology,2000,Technology Subject 3,S,Technology Subject 2,B,Technology Subject 4,W,,
50,ALevel,Commerce,2001,Commerce Subject 2,W,Commerce Subject 1,A,Commerce Subject 3,A,Commerce Subject 4,A
54,ALevel,Commerce,2020,Commerce Subject 2,F,Commerce Subject 1,F,Commerce Subject 4,S,Commerce Subject 3,S
60,ALevel,Commerce,2000,Commerce Subject 3,S,Commerce Subject 2,C,Commerce Subject 1,C,,
61,ALevel,Arts,1980,Arts Subject 3,F,Arts Subject 2,A,Arts Subject 1,C,,
62,ALevel,Arts,2002,Arts Subject 4,C,Arts Subject 1,C,Arts Subject 3,A,,
63,ALevel,Commerce,2014,Commerce Subject 4,S,Commerce Subject 2,C,Commerce Subject 3,C,Commerce Subject 1,S
65,ALevel,Arts,1986,Arts Subject 4,W,Arts Subject 1,F,Arts Subject 2,B,,
68,ALevel,Science,2022,Science Subject 4,C,Science Subject 1,A,Science Subject 3,C,,
69,ALevel,Technology,1981,Technology Subject 2,B,Technology Subject 4,B,Technology Subject 3,B,Technology Subject 1,A
70,ALevel,Science,1997,Science Subject 1,F,Science Subject 4,C,Science Subject 3,F,,
74,ALevel,Commerce,1982,Commerce Subject 2,B,Commerce Subject 3,F,Commerce Subject 4,S,Commerce Subject 1,C
76,ALevel,Arts,1981,Arts Subject 2,A,Arts Subject 3,S,Arts Subject 1,A,Arts Subject 4,F
80,ALevel,Science,1998,Science Subject 2,F,Science Subject 4,A,Science Subject 3,F,,
81,ALevel,Arts,2004,Arts Subject 3,A,Arts Subject 1,A,Arts Subject 2,C,,
84,ALevel,Technology,1990,Technology Subject 2,F,Technology Subject 1,B,Technology Subject 3,F,,
85,ALevel,Commerce,2001,Commerce Subject 4,B,Commerce Subject 3,A,Commerce Subject 2,S,,
86,ALevel,Commerce,2002,Commerce Subject 2,W,Commerce Subject 3,S,Commerce Subject 4,S,Commerce Subject 1,F
88,ALevel,Commerce,1982,Commerce Subject 2,W,Commerce Subject 3,B,Commerce Subject 4,C,Commerce Subject 1,F
90,ALevel,Arts,2022,Arts Subject 4,W,Arts Subject 3,C,Arts Subject 1,F,,
91,ALevel,Arts,2023,Arts Subject 3,A,Arts Subject 2,A,Arts Subject 4,F,Arts Subject 1,B
92,ALevel,Technology,1985,Technology Subject 3,S,Technology Subject 1,S,Technology Subject 4,F,,
94,ALevel,Commerce,1988,Commerce Subject 2,C,Commerce Subject 3,S,Commerce Subject 1,C,,
95,ALevel,Commerce,1998,Commerce Subject 3,C,Commerce Subject 1,W,Commerce Subject 4,W,Commerce Subject 2,C
96,ALevel,Commerce,1980,Commerce Subject 3,F,Commerce Subject 1,B,Commerce Subject 4,C,Commerce Subject 2,W
98,ALevel,Technology,1997,Technology Subject 2,W,Technology Subject 4,S,Technology Subject 1,B,,
99,ALevel,Science,2008,Science Subject 3,C,Science Subject 4,A,Science Subject 2,B,,
105,ALevel,Science,1999,Science Subject 4,W,Science Subject 3,S,Science Subject 2,W,Science Subject 1,A
106,ALevel,Arts,2001,Arts Subject 1,W,Arts Subject 3,F,Arts Subject 2,C,,
108,ALevel,Technology,2014,Technology Subject 3,W,Technology Subject 1,S,Technology Subject 2,F,,
113,ALevel,Arts,1996,Arts Subject 3,B,Arts Subject 2,B,Arts Subject 1,F,Arts Subject 4,C
120,ALevel,Commerce,2016,Commerce Subject 1,C,Commerce Subject 3,B,Commerce Subject 2,W,Commerce Subject 4,C
125,ALevel,Technology,1996,Technology Subject 4,S,Technology Subject 2,W,Technology Subject 1,F,,
127,ALevel,Science,2021,Science Subject 4,F,Science Subject 2,C,Science Subject 1,B,Science Subject 3,F
129,ALevel,Technology,2021,Technology Subject 3,A,Technology Subject 4,B,Technology Subject 1,C,Technology Subject 2,F
133,ALevel,Arts,2001,Arts Subject 1,B,Arts Subject 4,F,Arts Subject 3,W,,
134,ALevel,Technology,2020,Technology Subject 4,S,Technology Subject 2,F,Technology Subject 3,B,Technology Subject 1,W
136,ALevel,Technology,1981,Technology Subject 3,W,Technology Subject 4,A,Technology Subject 2,S,Technology Subject 1,A
137,ALevel,Commerce,2019,Commerce Subject 3,C,Commerce Subject 4,B,Commerce Subject 2,W,,
138,ALevel,Science,2017,Science Subject 4,C,Science Subject 2,C,Science Subject 3,C,,
141,ALevel,Technology,1987,Technology Subject 2,S,Technology Subject 1,S,Technology Subject 4,A,Technology Subject 3,W
142,ALevel,Science,2025,Science Subject 4,W,Science Subject 2,W,Science Subject 3,F,Science Subject 1,F
146,ALevel,Commerce,2006,Commerce Subject 4,F,Commerce Subject 1,W,Commerce Subject 3,F,Commerce Subject 2,F
148,ALevel,Science,1993,Science Subject 4,F,Science Subject 1,W,Science Subject 2,W,Science Subject 3,F
152,ALevel,Commerce,2003,Commerce Subject 2,F,Commerce Subject 4,S,Commerce Subject 3,W,,
159,ALevel,Science,2002,Science Subject 3,C,Science Subject 1,W,Science Subject 4,F,,
161,ALevel,Commerce,2010,Commerce Subject 2,F,Commerce Subject 3,W,Commerce Subject 4,S,,
162,ALevel,Science,1980,Science Subject 3,W,Science Subject 1,B,Science Subject 4,S,Science Subject 2,C
166,ALevel,Science,2023,Science Subject 1,B,Science Subject 4,B,Science Subject 3,W,Science Subject 2,C
167,ALevel,Technology,2021,Technology Subject 2,C,Technology Subject 3,C,Technology Subject 4,F,Technology Subject 1,A
173,ALevel,Commerce,1982,Commerce Subject 4,S,Commerce Subject 3,C,Commerce Subject 2,C,Commerce Subject 1,A
174,ALevel,Arts,2018,Arts Subject 1,F,Arts Subject 3,B,Arts Subject 4,S,,
