PersonalID,ExamName,Year,Subject1,Result1,Subject2,Result2,Subject3,Result3,Subject4,Result4,Subject5,Result5,Subject6,Result6,Subject7,Result7,Subject8,Result8,Subject9,Result9,Subject10,Result10
1,OLevel,1985,Geography,A,Music,A,IT,S,English,C,Commerce,W,Science,F,Art,W,History,C,Tamil,S,Mathematics,C
2,OLevel,2025,Tamil,A,Geography,A,English,C,History,F,IT,B,Science,B,Mathematics,F,Music,C,Sinhala,B,Commerce,A
3,OLevel,2014,Mathematics,F,Sinhala,S,Tamil,S,Art,F,History,F,Music,B,Science,C,Geography,B,Commerce,W,,
4,OLevel,2008,English,B,Science,C,Mathematics,F,Sinhala,F,Geography,W,Commerce,B,Tamil,W,History,F,Music,W,,
5,OLevel,2006,Art,W,History,F,Tamil,B,Mathematics,W,Sinhala,C,Music,W,Science,A,,,,,,
7,OLevel,1995,IT,S,Science,C,History,C,Tamil,C,Sinhala,C,Geography,F,Art,A,Commerce,F,,,,
8,OLevel,2011,Art,F,History,F,Geography,F,Mathematics,C,English,C,Music,C,,,,,,,,
11,OLevel,1992,Commerce,W,Tamil,S,Science,S,Art,B,IT,S,English,B,Sinhala,S,,,,,,
12,OLevel,1983,Music,F,Sinhala,S,History,A,Art,B,Commerce,F,Geography,B,Tamil,A,English,C,Science,C,IT,B
13,OLevel,1984,Mathematics,A,History,A,Sinhala,B,Geography,C,Tamil,W,Science,B,Music,B,,,,,,
14,OLevel,1985,Commerce,C,Mathematics,W,Science,S,Music,S,Tamil,A,IT,C,English,A,,,,,,
15,OLevel,1986,Mathematics,A,Tamil,W,English,B,Geography,W,IT,C,Commerce,A,Science,F,Art,C,,,,
17,OLevel,2023,Sinhala,A,IT,W,Geography,C,History,B,Mathematics,W,Science,C,,,,,,,,
18,OLevel,2011,Art,B,Music,S,Science,A,IT,S,Sinhala,B,History,C,English,A,,,,,,
19,OLevel,1983,Geography,S,Music,A,Art,C,Commerce,B,Mathematics,S,Tamil,C,Science,C,Sinhala,S,English,F,,
