PersonalID,SkillName,ProficiencyLevel
1,Customer Service,Intermediate
2,Medical Assistance,Advanced
2,Shuttering Carpentry,Intermediate
2,Janitorial Skills,Basic
3,Vehicle Maintenance,Advanced
3,Childcare,Advanced
4,Nursing,Advanced
5,Nursing,Intermediate
6,Textile Machine Operation,Basic
6,Caregiving,Basic
7,Beauty Therapy,Basic
8,Nursing,Advanced
8,Laundry,Advanced
9,Food Preparation,Intermediate
9,Security Guarding,Advanced
9,Kitchen Assistance,Advanced
10,Driving,Basic
11,Hairdressing,Basic
11,Scaffolding,Basic
12,Front Desk Operations,Advanced
12,Delivery Driving,Intermediate
12,Janitorial Skills,Intermediate
13,Makeup Artistry,Intermediate
13,Guest Relations,Advanced
14,Administrative Support,Basic
14,Plumbing,Basic
14,Childcare,Intermediate
14,Farming,Advanced
14,Banquet Service,Advanced
15,Customer Service,Basic
15,Kitchen Assistance,Intermediate
16,Inventory Management,Basic
16,Barista Skills,Advanced
16,Garment Quality Control,Basic
17,Guest Relations,Intermediate
18,Customer Service,Basic
18,Livestock Management,Basic
18,Medical Assistance,Basic
19,Medical Assistance,Basic
19,Nursing,Intermediate
19,Serving,Intermediate
20,Driving,Advanced
21,Bar Bending,Intermediate
22,Driving,Basic
23,IT Skills,Intermediate
23,Fishing,Basic
23,Electrical,Intermediate
23,Masonry,Intermediate
24,Home Cleaning,Basic
24,Sewing,Basic
24,Fishing,Intermediate
25,Patient Care,Intermediate
26,Home Cleaning,Advanced
26,Hotel Housekeeping,Basic
27,Excel,Advanced
27,Sewing,Basic
28,Electrical,Intermediate
29,Sewing,Basic
29,Plumbing,Intermediate
30,Sewing,Basic
31,Driving,Advanced
31,Makeup Artistry,Basic
31,Nursing,Advanced
32,Garment Quality Control,Advanced
32,Medical Assistance,Advanced
33,Hairdressing,Advanced
33,Hotel Housekeeping,Intermediate
34,Data Entry,Advanced
34,Health Aide,Intermediate
34,Packing,Advanced
35,Food Preparation,Basic
36,Nursing,Intermediate
37,Administrative Support,Basic
37,Plumbing,Advanced
38,Housekeeping,Advanced
39,Painting,Basic
40,Plumbing,Intermediate
41,Livestock Management,Advanced
42,Retail Sales,Advanced
42,Delivery Driving,Basic
43,Sewing,Basic
44,Childcare,Advanced
44,Tailoring,Advanced
44,Cooking,Advanced
45,Medical Assistance,Advanced
45,Kitchen Assistance,Intermediate
45,CCTV Monitoring,Advanced
45,Driving,Intermediate
46,Packing,Intermediate
47,Inventory Management,Basic
47,Cooking,Advanced
47,Laundry,Advanced
48,Forklift Operation,Advanced
49,First Aid,Advanced
49,Hairdressing,Intermediate
49,Nursing,Intermediate
49,Logistics Coordination,Advanced
50,Textile Machine Operation,Intermediate
50,Nursing,Basic
50,Concrete Mixing,Basic
50,Driving,Basic
52,Housekeeping,Intermediate
52,Farming,Intermediate
53,Laundry,Basic
54,Accounting,Basic
54,Vehicle Maintenance,Basic
55,CCTV Monitoring,Advanced
55,Beauty Therapy,Advanced
55,Janitorial Skills,Basic
56,Heavy Vehicle Driving,Advanced
56,Masonry,Advanced
57,Banquet Service,Intermediate
57,Bar Bending,Advanced
57,Vehicle Maintenance,Intermediate
59,Food Preparation,Intermediate
59,Bar Bending,Advanced
60,Quality Inspection,Advanced
60,Housekeeping,Basic
61,Housekeeping,Intermediate
61,Logistics Coordination,Basic
62,Teaching Assistance,Intermediate
63,Driving,Intermediate
63,Tailoring,Intermediate
63,First Aid,Basic
64,Hairdressing,Advanced
65,Fishing,Advanced
65,Hairdressing,Advanced
66,Nursing,Intermediate
66,Barista Skills,Advanced
67,Hotel Housekeeping,Intermediate
67,Inventory Management,Advanced
68,Teaching Assistance,Advanced
69,Heavy Vehicle Driving,Basic
69,Tiling,Basic
69,Welding,Intermediate
70,Plumbing,Intermediate
70,Janitorial Skills,Intermediate
70,Painting,Intermediate
71,Scaffolding,Basic
72,Packing,Advanced
72,Logistics Coordination,Basic
73,Fishing,Intermediate
73,Livestock Management,Advanced
73,Plumbing,Advanced
73,Carpentry,Intermediate
74,Inventory Management,Advanced
74,Packing,Advanced
74,Beauty Therapy,Intermediate
75,Vehicle Maintenance,Intermediate
75,Makeup Artistry,Intermediate
75,Banquet Service,Advanced
75,Nursing,Advanced
76,Health Aide,Basic
77,Elderly Care,Intermediate
