PersonalID,NVQLevel,CourseName,Institution,CompletionDate
1,,Certificate in Electrical Work,SLBFE Training Center,2022-03-03
1,,Diploma in IT,VTA,2016-08-22
2,,Certificate in Driving,VTA,2017-08-11
2,,Diploma in Nursing,SLBFE Training Center,2015-09-01
3,,Certificate in Nursing,Tea Inc,2022-04-14
5,,Certificate in Carpentry,SLBFE Training Center,2020-12-07
8,,Certificate in Electrical Work,TVEC,2025-01-16
8,,Diploma in IT,TVEC,2016-07-27
9,NVQ Level 4,,VTA,2021-07-28
13,,Certificate in Domestic Work,NAITA,2022-05-18
13,NVQ Level 4,,NAITA,2020-06-30
13,,Bachelor's Degree,TVEC,2020-09-30
14,,Certificate in Sewing,TVEC,2023-01-25
14,NVQ Level 3,,TVEC,2020-07-26
14,NVQ Level 5,,VTA,2021-07-18
15,,Certificate in Plumbing,NAITA,2018-12-11
15,NVQ Level 5,,VTA,2018-03-27
15,,Certificate in Hospitality,SLBFE Training Center,2021-04-03
15,,Certificate in IT,SLBFE Training Center,2022-04-28
18,,Diploma in Nursing,Gem Co,2024-10-11
18,,Diploma in Hospitality,VTA,2019-05-09
19,NVQ Level 3,,SLBFE Training Center,2025-05-22
19,,Diploma in Hospitality,NAITA,2017-07-18
23,,Certificate in Masonry,Hotel Group,2016-09-05
23,,Certificate in IT,NAITA,2024-09-24
23,,Certificate in Masonry,SLBFE Training Center,2024-10-18
23,,Bachelor's Degree,NAITA,2023-09-25
24,,Certificate in Nursing,Construction Corp,2020-05-31
24,NVQ Level 4,,SLBFE Training Center,2020-08-19
29,,Certificate in Carpentry,TVEC,2018-12-03
29,,Certificate in Domestic Work,TVEC,2021-06-02
29,,Bachelor's Degree,VTA,2019-12-23
31,,Certificate in Plumbing,VTA,2025-06-25
32,,Certificate in Domestic Work,SLBFE Training Center,2016-08-06
32,NVQ Level 4,,NAITA,2019-08-19
32,NVQ Level 3,,VTA,2021-11-22
33,,Certificate in Heavy Vehicle Operation,TVEC,2022-05-14
34,NVQ Level 4,,SLBFE Training Center,2021-10-10
36,,Certificate in Caregiving,SLBFE Training Center,2018-07-12
36,,Certificate in Caregiving,SLBFE Training Center,2017-09-08
36,,Certificate in Caregiving,TVEC,2016-07-15
36,,Certificate in Caregiving,NAITA,2018-06-27
38,,Certificate in Electrical Work,SLBFE Training Center,2024-08-01
38,,Certificate in Cooking,VTA,2023-01-19
38,,Diploma in Business,NAITA,2016-08-13
41,,A/L,SLBFE Training Center,2019-02-04
41,,Bachelor's Degree,NAITA,2016-11-27
43,,Certificate in Cooking,NAITA,2016-07-20
43,,Certificate in Caregiving,VTA,2020-09-10
43,,Certificate in Welding,NAITA,2018-02-25
45,,Certificate in Carpentry,Tea Plantations,2021-05-30
45,,O/L,NAITA,2025-02-17
47,,Certificate in Heavy Vehicle Operation,Tea Plantations,2023-12-04
49,NVQ Level 1,,Lanka Group,2023-11-03
49,,Certificate in Welding,TVEC,2020-06-03
50,,Certificate in Hospitality,SLBFE Training Center,2022-12-07
50,,Certificate in Nursing,Apparel Ltd,2022-02-13
50,,Certificate in IT,Lanka Corp,2019-07-02
53,,Certificate in Driving,NAITA,2023-08-03
53,NVQ Level 3,,Apparel Enterprises,2022-05-29
55,,Certificate in Driving,VTA,2018-06-11
55,,Bachelor's Degree,TVEC,2017-10-18
55,,Certificate in Welding,NAITA,2022-04-22
60,,Certificate in Caregiving,Sri Co,2016-08-23
61,,Diploma in Business,VTA,2021-06-04
62,NVQ Level 4,,VTA,2020-02-02
62,NVQ Level 1,,TVEC,2022-12-02
62,NVQ Level 1,,SLBFE Training Center,2016-10-01
67,,Certificate in Plumbing,VTA,2018-04-08
67,,Master's Degree,Apparel Enterprises,2019-03-16
68,,Certificate in Cooking,VTA,2023-10-06
69,,Master's Degree,NAITA,2016-07-14
69,NVQ Level 2,,SLBFE Training Center,2023-12-22
69,,Certificate in Masonry,Tea Group,2020-05-07
69,NVQ Level 2,,VTA,2023-08-21
73,,Bachelor's Degree,SLBFE Training Center,2022-08-01
73,NVQ Level 1,,SLBFE Training Center,2018-12-19
73,,Certificate in Welding,TVEC,2018-09-23
75,,Certificate in Heavy Vehicle Operation,Tech Solutions,2024-03-24
75,,A/L,SLBFE Training Center,2019-10-10
77,,Diploma in Hospitality,TVEC,2017-06-20
78,,Master's Degree,Tea Co,2025-03-12
79,,Certificate in Electrical Work,SLBFE Training Center,2019-09-16
82,,Diploma in Nursing,VTA,2022-11-09
82,,Certificate in Caregiving,NAITA,2020-04-06
82,,Certificate in Driving,SLBFE Training Center,2020-04-04
82,,Certificate in Hospitality,SLBFE Training Center,2015-08-26
83,NVQ Level 2,,SLBFE Training Center,2023-11-21
83,,Master's Degree,NAITA,2025-07-13
86,,Certificate in Heavy Vehicle Operation,TVEC,2017-09-17
86,NVQ Level 4,,NAITA,2021-04-09
86,,Certificate in Accounting,TVEC,2025-07-02
87,NVQ Level 5,,TVEC,2025-06-13
89,,Diploma in Hospitality,NAITA,2025-05-14
89,,Certificate in Electrical Work,SLBFE Training Center,2024-12-29
90,,Certificate in Accounting,SLBFE Training Center,2025-03-30
91,,Certificate in IT,SLBFE Training Center,2020-08-03
91,,Certificate in Electrical Work,NAITA,2023-05-04
91,,O/L,TVEC,2016-05-30
91,,Diploma in Hospitality,SLBFE Training Center,2016-12-20
94,,Diploma in Business,Construction Ltd,2019-09-26
94,,Bachelor's Degree,SLBFE Training Center,2019-04-12
94,,Certificate in Nursing,Tech Enterprises,2023-10-27
95,,Certificate in Heavy Vehicle Operation,VTA,2015-08-27
95,,Certificate in Cooking,Ceylon Corp,2024-05-05
95,NVQ Level 3,,TVEC,2017-10-23
96,,Certificate in Masonry,Ceylon Inc,2017-04-02
96,,Certificate in Masonry,TVEC,2021-07-04
96,,Certificate in Domestic Work,VTA,2020-09-25
101,,Certificate in Caregiving,SLBFE Training Center,2024-08-05
101,,Certificate in Caregiving,TVEC,2023-03-05
102,,Master's Degree,VTA,2023-07-05
104,,Certificate in Domestic Work,VTA,2019-10-01
105,,Diploma in Business,SLBFE Training Center,2019-12-18
106,,Bachelor's Degree,Hotel Group,2019-02-20
106,,O/L,TVEC,2016-07-13
106,NVQ Level 1,,Lanka Ltd,2018-09-18
106,,Certificate in Domestic Work,NAITA,2021-02-15
107,,Certificate in Caregiving,SLBFE Training Center,2016-07-25
110,,Certificate in Sewing,TVEC,2017-08-26
111,,Diploma in IT,Island Solutions,2019-04-13
113,,Certificate in Accounting,TVEC,2024-09-02
118,,Certificate in Caregiving,SLBFE Training Center,2017-01-06
123,,Certificate in Caregiving,VTA,2019-07-22
123,,Certificate in Accounting,NAITA,2019-08-07
125,,Certificate in Plumbing,NAITA,2023-07-04
126,,Certificate in Domestic Work,VTA,2016-11-07
126,,Certificate in Sewing,Sri Plantations,2023-05-27
127,,Diploma in IT,VTA,2023-12-12
127,,Certificate in Welding,SLBFE Training Center,2024-12-08
128,,Certificate in Caregiving,NAITA,2025-04-25
131,,Certificate in Masonry,Construction Inc,2023-02-14
131,,Diploma in Business,Island Group,2023-12-18
132,,Certificate in Driving,Ceylon Ltd,2020-08-09
132,,Certificate in Domestic Work,VTA,2023-08-11
132,,Certificate in Domestic Work,VTA,2017-02-21
136,,Certificate in Masonry,TVEC,2019-09-23
136,,Diploma in Nursing,TVEC,2021-08-01
136,,Diploma in Hospitality,SLBFE Training Center,2016-02-21
136,,Certificate in Masonry,TVEC,2020-02-01
137,NVQ Level 5,,Island Group,2021-05-28
139,,Certificate in Caregiving,VTA,2019-05-02
140,,Certificate in Masonry,TVEC,2017-04-05
140,NVQ Level 4,,SLBFE Training Center,2025-01-18
140,NVQ Level 3,,VTA,2020-12-05
142,,Certificate in Hospitality,VTA,2021-06-16
142,,Certificate in Cooking,NAITA,2018-12-01
142,,Certificate in Plumbing,SLBFE Training Center,2024-02-11
143,,Certificate in Plumbing,TVEC,2022-12-27
143,,A/L,VTA,2015-10-14
145,,Certificate in Hospitality,SLBFE Training Center,2018-09-01
145,,Certificate in Driving,NAITA,2024-12-15
145,,Certificate in Sewing,TVEC,2020-10-06
146,,Diploma in Hospitality,Ceylon Inc,2024-02-07
147,,A/L,Tea Group,2016-03-15
