HigherEduID,PersonalID,QualificationType,CourseName,University,Year,Result
1,9,BSc,Accounting International,University of Sri Jayewardenepura,2004,Second Lower
2,14,BSc,Hospitality Premier,Open University of Sri Lanka,2017,Second Upper
3,34,BA,Nursing International,University of Colombo,2006,Second Lower
4,47,BA,Nursing Tech,University of Jaffna,2012,Merit
5,49,Higher Diploma,Computer Science Premier,Eastern University,2018,First Class
6,53,BSc,Business Advanced,Sabaragamuwa University of Sri Lanka,1997,Merit
7,72,MSc,Computer Science International,University of Moratuwa,1986,Pass
8,80,BSc,Hospitality Global,Sabaragamuwa University of Sri Lanka,2012,First Class
9,81,BA,Engineering Advanced,Sabaragamuwa University of Sri Lanka,2001,
10,91,Higher Diploma,Hospitality National,University of Kelaniya,2015,Merit
11,109,BSc,Accounting International,University of Sri Jayewardenepura,1980,Merit
12,123,BA,Engineering National,University of Jaffna,2007,Pass
13,129,MSc,Accounting Tech,Eastern University,2002,Second Upper
14,129,Diploma,Computer Science Elite,University of Kelaniya,1996,Second Upper
15,135,MSc,Engineering Premier,University of Colombo,2020,Merit
16,141,BA,Nursing Advanced,University of Jaffna,2025,Second Upper
17,142,Diploma,Engineering Premier,University of Jaffna,1986,Second Upper
18,148,Diploma,Business Elite,University of Peradeniya,2017,Merit
19,159,Higher Diploma,Accounting International,Eastern University,2000,Second Lower
20,160,MSc,Computer Science National,University of Ruhuna,2003,
21,160,Higher Diploma,Nursing Advanced,Sabaragamuwa University of Sri Lanka,2017,Second Upper
22,172,Higher Diploma,Business National,University of Jaffna,2016,Pass
23,172,BA,Engineering International,Open University of Sri Lanka,2022,Merit
24,174,Higher Diploma,Nursing Tech,University of Peradeniya,2018,Pass
25,174,MSc,Computer Science Elite,University of Ruhuna,1994,Second Upper
26,193,Diploma,Computer Science International,University of Moratuwa,1983,Merit
27,201,BA,Hospitality International,Open University of Sri Lanka,1991,First Class
28,205,MSc,Hospitality International,Sabaragamuwa University of Sri Lanka,2010,Second Upper
29,208,MSc,Hospitality Tech,Eastern University,2010,
30,219,Higher Diploma,Business Global,Eastern University,1995,Pass
31,227,MSc,Accounting Premier,University of Jaffna,2015,Second Lower
32,228,MSc,Accounting National,University of Peradeniya,2006,Pass
33,230,Higher Diploma,Engineering Tech,University of Moratuwa,1980,Merit
34,234,BA,Nursing Global,University of Jaffna,2001,
35,234,MSc,Engineering Premier,University of Sri Jayewardenepura,1998,Pass
36,245,Diploma,Nursing Elite,University of Peradeniya,2002,
37,246,Diploma,Accounting Tech,University of Kelaniya,1991,Second Upper
38,247,BA,Computer Science International,Eastern University,1993,Second Upper
39,253,BSc,Nursing Premier,University of Moratuwa,1982,First Class
40,263,BSc,Computer Science Premier,University of Kelaniya,1984,Second Upper
41,264,Diploma,Business Advanced,University of Jaffna,1984,First Class
42,264,BSc,Business Advanced,Eastern University,2005,Merit
43,274,Diploma,Computer Science International,University of Kelaniya,1988,Second Lower
44,274,Diploma,Engineering Elite,Eastern University,1992,Second Lower
45,287,MSc,Accounting National,University of Sri Jayewardenepura,2006,Pass
46,289,Higher Diploma,Engineering Elite,University of Peradeniya,2009,Merit
47,289,BSc,Hospitality Elite,Sabaragamuwa University of Sri Lanka,2004,Pass
48,293,MSc,Engineering Elite,University of Ruhuna,2011,First Class
49,300,Diploma,Business Global,University of Ruhuna,1994,First Class
50,302,Diploma,Nursing Advanced,University of Ruhuna,2013,First Class
51,302,BSc,Hospitality Advanced,University of Sri Jayewardenepura,1988,Second Upper
52,308,BSc,Hospitality National,University of Ruhuna,1998,Second Lower
53,318,MSc,Computer Science Elite,Open University of Sri Lanka,2006,
54,347,BA,Hospitality Tech,Sabaragamuwa University of Sri Lanka,1996,Second Upper
55,347,BSc,Hospitality Elite,University of Ruhuna,2023,
56,355,BA,Engineering National,University of Jaffna,1988,First Class
57,360,MSc,Engineering Tech,University of Colombo,2024,Second Lower
58,365,Diploma,Computer Science National,Open University of Sri Lanka,2005,Second Lower
59,368,Diploma,Business Tech,Open University of Sri Lanka,1993,
60,368,Higher Diploma,Hospitality Advanced,University of Colombo,2013,Merit
61,383,BA,Nursing Advanced,University of Jaffna,2014,Pass
62,386,Diploma,Accounting Elite,University of Sri Jayewardenepura,2001,Second Upper
63,386,MSc,Business Advanced,Sabaragamuwa University of Sri Lanka,2007,Second Upper
64,386,BA,Hospitality Global,Open University of Sri Lanka,2023,Merit
65,393,Diploma,Nursing International,University of Moratuwa,2018,
66,401,MSc,Business Global,Open University of Sri Lanka,1998,Second Lower
67,405,Diploma,Engineering International,Open University of Sri Lanka,2008,Pass
68,426,Higher Diploma,Computer Science Elite,Sabaragamuwa University of Sri Lanka,2022,Merit
69,435,BA,Engineering Tech,Eastern University,1993,Second Upper
70,447,Diploma,Accounting Premier,University of Peradeniya,1980,
71,447,BSc,Nursing Global,University of Sri Jayewardenepura,2017,Pass
72,448,MSc,Accounting Tech,Eastern University,2014,
73,451,Higher Diploma,Engineering International,University of Ruhuna,2016,Second Lower
74,451,BSc,Nursing Premier,Eastern University,2019,Pass
75,466,Higher Diploma,Hospitality Premier,University of Moratuwa,2009,Pass
76,482,MSc,Accounting Premier,University of Ruhuna,1996,Second Lower
77,487,Higher Diploma,Computer Science Global,University of Ruhuna,2019,Pass
78,493,MSc,Accounting Elite,Sabaragamuwa University of Sri Lanka,1995,Second Lower
79,494,MSc,Engineering International,University of Ruhuna,1986,Pass
80,494,BA,Hospitality Global,University of Moratuwa,2003,
81,495,MSc,Computer Science National,Eastern University,1997,Pass
82,501,BSc,Hospitality International,University of Colombo,2004,Pass
83,508,BA,Hospitality Elite,University of Jaffna,2002,Second Lower
84,519,BA,Engineering International,University of Colombo,1990,Second Upper
85,522,MSc,Nursing National,University of Moratuwa,2025,Merit
86,524,BA,Accounting National,Sabaragamuwa University of Sri Lanka,2003,Second Upper
87,525,Diploma,Accounting Premier,University of Sri Jayewardenepura,2016,Second Lower
88,526,BSc,Business International,University of Kelaniya,1984,First Class
89,539,Higher Diploma,Engineering Advanced,University of Sri Jayewardenepura,2019,Second Lower
90,550,MSc,Hospitality Global,University of Kelaniya,1999,Merit
91,553,Higher Diploma,Nursing Global,University of Ruhuna,2020,
92,565,Diploma,Engineering Global,University of Jaffna,2005,Second Upper
93,569,Higher Diploma,Business Premier,University of Colombo,2002,Merit
94,580,BA,Accounting Advanced,University of Jaffna,2021,Second Lower
95,583,MSc,Computer Science International,University of Peradeniya,2014,Second Lower
96,593,Diploma,Hospitality Global,University of Colombo,1998,Second Upper
97,595,Diploma,Engineering Elite,University of Peradeniya,1993,First Class
98,596,BSc,Accounting International,Open University of Sri Lanka,1999,Second Upper
99,611,BSc,Nursing Tech,Open University of Sri Lanka,2013,Merit
100,619,MSc,Business Elite,University of Moratuwa,2014,Pass
101,621,MSc,Hospitality Advanced,University of Kelaniya,2000,Second Lower
102,621,BSc,Accounting Advanced,University of Sri Jayewardenepura,2024,Second Upper
103,634,Higher Diploma,Hospitality National,University of Colombo,2015,Second Lower
104,637,Higher Diploma,Accounting Premier,University of Peradeniya,1986,Pass
105,648,MSc,Hospitality Elite,University of Ruhuna,2025,
106,648,MSc,Nursing Global,Open University of Sri Lanka,2020,Merit
107,648,MSc,Nursing Premier,University of Moratuwa,1989,First Class
108,659,BSc,Accounting Premier,University of Kelaniya,1982,
109,660,BSc,Accounting National,Open University of Sri Lanka,1997,Second Lower
110,660,Higher Diploma,Business Advanced,University of Ruhuna,1998,Merit
111,661,Diploma,Hospitality Global,University of Peradeniya,1995,Second Lower
112,674,MSc,Accounting International,Eastern University,1996,Pass
113,687,BSc,Hospitality Premier,University of Sri Jayewardenepura,1996,First Class
114,692,Higher Diploma,Nursing International,University of Colombo,1985,Pass
115,694,BA,Computer Science Elite,Sabaragamuwa University of Sri Lanka,1996,First Class
116,696,MSc,Accounting Tech,Open University of Sri Lanka,2003,Second Lower
117,707,Diploma,Computer Science Elite,University of Sri Jayewardenepura,2013,Merit
118,721,MSc,Nursing Advanced,Sabaragamuwa University of Sri Lanka,1998,
119,728,Higher Diploma,Engineering Advanced,University of Ruhuna,2020,Pass
120,736,Higher Diploma,Engineering International,University of Peradeniya,2013,Pass
121,742,BSc,Engineering Premier,Sabaragamuwa University of Sri Lanka,2006,Second Lower
