ContractID,ApplicationID,JobID,EmployerID,PersonalID,ContractNumber,ContractStartDate,ContractEndDate,RenewalEligible,ContractStatus,SignedDate,Remarks,CreatedDate
1,23,1672,78,11,C0000001,2025-03-28,2027-02-08,1,Active,2025-03-28,Requires visa,2025-03-28
2,72,3701,19,30,C0000002,2024-07-13,2026-10-11,0,Terminated,2024-07-13,Standard contract,2024-07-13
3,82,901,14,33,C0000003,2025-04-12,2025-05-20,1,Active,2025-04-12,,2025-04-12
4,85,4015,84,33,C0000004,2025-12-04,2027-02-19,0,Active,2025-12-04,Requires visa,2025-12-04
5,91,3796,49,35,C0000005,2024-11-19,2026-02-08,1,Expired,2024-11-19,Training provided,2024-11-19
6,109,1452,24,39,C0000006,2025-05-11,2026-11-10,0,Terminated,2025-05-11,Requires visa,2025-05-11
7,153,3839,38,52,C0000007,2026-04-04,2026-08-01,1,Completed,2026-04-04,Training provided,2026-04-04
8,155,2854,31,53,C0000008,2026-05-18,2027-03-29,0,Expired,2026-05-18,Probation period,2026-05-18
9,173,2218,6,60,C0000009,2025-11-08,2027-08-02,1,Terminated,2025-11-08,,2025-11-08
10,174,1877,16,60,C0000010,2025-08-16,2027-06-16,1,Terminated,2025-08-16,Training provided,2025-08-16
11,181,3595,1,63,C0000011,2026-04-17,2027-02-16,0,Active,2026-04-17,Probation period,2026-04-17
12,191,3006,81,65,C0000012,2025-11-08,2027-02-12,0,Expired,2025-11-08,Probation period,2025-11-08
13,196,3501,37,67,C0000013,2024-09-09,2024-11-11,0,Active,2024-09-09,Standard contract,2024-09-09
14,204,499,62,71,C0000014,2026-04-29,2026-11-19,0,Expired,2026-04-29,Training provided,2026-04-29
15,214,2185,71,79,C0000015,2026-06-13,2027-07-15,0,Active,2026-06-13,Standard contract,2026-06-13
16,239,4700,78,90,C0000016,2026-08-28,2027-07-03,0,Terminated,2026-08-28,Requires visa,2026-08-28
17,246,4903,35,94,C0000017,2025-07-03,2027-08-01,1,Expired,2025-07-03,Training provided,2025-07-03
18,249,1758,20,94,C0000018,2024-10-16,2024-12-29,1,Terminated,2024-10-16,,2024-10-16
19,250,2961,52,94,C0000019,2025-09-27,2026-06-05,1,Expired,2025-09-27,Probation period,2025-09-27
20,265,1717,37,101,C0000020,2025-07-14,2025-11-03,1,Completed,2025-07-14,Training provided,2025-07-14
21,290,803,79,109,C0000021,2024-06-11,2026-10-28,1,Active,2024-06-11,,2024-06-11
22,310,4861,90,117,C0000022,2026-05-14,2026-10-02,0,Terminated,2026-05-14,Training provided,2026-05-14
23,316,3749,32,119,C0000023,2026-08-03,2027-06-25,0,Terminated,2026-08-03,Requires visa,2026-08-03
24,334,3920,74,124,C0000024,2025-03-15,2027-03-26,0,Terminated,2025-03-15,,2025-03-15
25,337,287,74,125,C0000025,2025-03-23,2027-03-15,0,Expired,2025-03-23,Standard contract,2025-03-23
26,340,75,61,126,C0000026,2024-03-23,2027-05-04,0,Active,2024-03-23,Training provided,2024-03-23
27,358,4488,7,134,C0000027,2025-02-12,2026-07-20,0,Expired,2025-02-12,,2025-02-12
28,363,3924,13,136,C0000028,2025-08-11,2027-02-16,0,Active,2025-08-11,Probation period,2025-08-11
29,381,3487,85,142,C0000029,2026-07-02,2027-01-29,1,Expired,2026-07-02,Standard contract,2026-07-02
30,387,3156,75,143,C0000030,2025-08-02,2025-10-11,1,Terminated,2025-08-02,Standard contract,2025-08-02
31,389,2025,13,144,C0000031,2024-11-14,2025-01-28,0,Active,2024-11-14,Standard contract,2024-11-14
32,405,258,28,148,C0000032,2024-06-05,2027-02-15,1,Expired,2024-06-05,Training provided,2024-06-05
33,407,1796,69,150,C0000033,2024-01-28,2027-07-11,0,Terminated,2024-01-28,Training provided,2024-01-28
34,420,2236,52,155,C0000034,2026-06-11,2027-07-31,1,Terminated,2026-06-11,Probation period,2026-06-11
35,426,93,51,157,C0000035,2024-12-28,2025-04-27,0,Expired,2024-12-28,,2024-12-28
36,461,46,15,167,C0000036,2024-10-07,2024-10-27,0,Terminated,2024-10-07,Standard contract,2024-10-07
37,463,2659,5,168,C0000037,2024-07-25,2027-07-13,1,Completed,2024-07-25,Requires visa,2024-07-25
38,477,1641,7,170,C0000038,2025-07-29,2026-09-23,1,Completed,2025-07-29,Training provided,2025-07-29
