QualificationID,JobID,QualificationType,FieldOfStudy,MinimumGrade,OtherDetails
1,1,O/L,General,Pass,Standard contract
2,1,NVQ Level 3,Vocational,Distinction,Probation period
3,1,Certificate in Masonry,Construction,Pass,Probation period
4,2,NVQ Level 3,Vocational,Pass,
5,3,Certificate in Welding,Construction,,Standard contract
6,3,Certificate in Carpentry,Construction,Distinction,Standard contract
7,4,A/L,General,Distinction,Standard contract
8,4,O/L,General,Distinction,Probation period
9,5,NVQ Level 3,Vocational,Pass,Training provided
10,5,A/L,General,Distinction,Standard contract
11,6,Certificate in Domestic Work,Domestic Services,,Training provided
12,6,O/L,General,,Requires visa
13,6,NVQ Level 2,Vocational,,Standard contract
14,7,NVQ Level 4,Vocational,Pass,Standard contract
15,7,Certificate in Welding,Construction,Distinction,Training provided
16,8,O/L,General,Merit,Training provided
17,8,Certificate in Heavy Vehicle Operation,Transportation,Merit,Probation period
18,9,NVQ Level 2,Vocational,Distinction,Standard contract
19,10,A/L,General,,Training provided
20,10,Certificate in Cooking,Hospitality,Distinction,Training provided
21,10,O/L,General,,Standard contract
22,11,O/L,General,Pass,Standard contract
23,11,NVQ Level 4,Vocational,Merit,Probation period
24,12,O/L,General,Distinction,Requires visa
25,12,NVQ Level 3,Vocational,Pass,Requires visa
26,13,Certificate in Carpentry,Construction,Pass,Requires visa
27,13,NVQ Level 1,Vocational,,Training provided
28,14,NVQ Level 3,Vocational,Distinction,Requires visa
29,14,O/L,General,Pass,Requires visa
30,15,Certificate in Domestic Work,Domestic Services,Pass,Probation period
31,15,O/L,General,,Probation period
32,15,NVQ Level 3,Vocational,,
33,16,Diploma in IT,Information Technology,Pass,Requires visa
34,16,O/L,General,,Probation period
35,16,Bachelor's Degree,General,Pass,Training provided
36,17,NVQ Level 3,Vocational,Merit,Requires visa
37,17,O/L,General,Pass,
38,18,Certificate in Beauty Therapy,General,Pass,Standard contract
39,18,O/L,General,Pass,Standard contract
40,18,Certificate in Hairdressing,General,Merit,Training provided
41,19,Certificate in Electrical Work,Construction,Merit,Probation period
42,20,O/L,General,,Requires visa
43,20,Certificate in Hairdressing,General,Pass,Requires visa
44,20,Certificate in Beauty Therapy,General,Distinction,Probation period
45,21,NVQ Level 3,Vocational,Pass,Standard contract
46,21,Certificate in Welding,Construction,Merit,Standard contract
47,22,NVQ Level 3,Vocational,,Probation period
48,22,NVQ Level 2,Vocational,Pass,Probation period
49,22,O/L,General,,Probation period
50,23,NVQ Level 2,Vocational,Pass,Requires visa
51,24,NVQ Level 4,Vocational,Pass,Probation period
52,24,O/L,General,Distinction,Probation period
53,25,Certificate in Welding,Construction,Pass,Standard contract
54,26,Master's Degree,General,,Requires visa
55,26,Diploma in Hospitality,Hospitality,Pass,Requires visa
56,26,Certificate in Driving,Transportation,Distinction,Standard contract
57,27,Certificate in Cooking,Hospitality,Pass,
58,27,Certificate in Hospitality,Hospitality,Pass,Probation period
59,27,A/L,General,Pass,
60,28,NVQ Level 4,Vocational,Pass,Requires visa
61,29,NVQ Level 4,Vocational,,Requires visa
62,29,NVQ Level 3,Vocational,Merit,Training provided
63,29,Certificate in Sewing,Textile,Distinction,Standard contract
64,30,Certificate in Welding,Construction,Distinction,Standard contract
65,31,NVQ Level 3,Vocational,Pass,Requires visa
66,32,NVQ Level 2,Vocational,,
67,33,O/L,General,Distinction,Probation period
68,33,Certificate in Welding,Construction,Merit,Training provided
69,34,NVQ Level 3,Vocational,,Standard contract
70,34,O/L,General,,
71,35,Certificate in Nursing,Healthcare,,Standard contract
72,35,Diploma in Nursing,Healthcare,Merit,Standard contract
73,35,O/L,General,Pass,Standard contract
74,36,NVQ Level 3,Vocational,Distinction,Standard contract
75,37,NVQ Level 3,Vocational,Pass,Standard contract
76,37,O/L,General,Distinction,
77,38,Bachelor's Degree,General,,Training provided
78,39,Certificate in Caregiving,Healthcare,Pass,
79,39,Certificate in Domestic Work,Domestic Services,Distinction,
80,40,Certificate in Heavy Vehicle Operation,Transportation,,Requires visa
81,40,Certificate in Driving,Transportation,Pass,Requires visa
82,41,Certificate in Electrical Work,Construction,Merit,Probation period
83,41,Certificate in Plumbing,Construction,Merit,Requires visa
84,42,NVQ Level 2,Vocational,Pass,
85,43,O/L,General,,Training provided
86,43,Certificate in IT,Information Technology,Pass,Training provided
87,43,Diploma in IT,Information Technology,Pass,Probation period
88,44,O/L,General,,Requires visa
89,45,NVQ Level 2,Vocational,Merit,Standard contract
90,46,Certificate in Hospitality,Hospitality,,Standard contract
91,46,NVQ Level 3,Vocational,,Training provided
92,46,O/L,General,Distinction,Standard contract
93,47,Certificate in Heavy Vehicle Operation,Transportation,Merit,
94,47,O/L,General,Merit,Probation period
95,48,Certificate in Caregiving,Healthcare,Merit,Probation period
96,48,NVQ Level 4,Vocational,Merit,
97,49,NVQ Level 2,Vocational,,Standard contract
98,50,NVQ Level 3,Vocational,Merit,Standard contract
99,51,NVQ Level 3,Vocational,Distinction,
100,51,Certificate in Masonry,Construction,,Standard contract
101,52,Certificate in Welding,Construction,Merit,Training provided
102,52,O/L,General,,
103,52,NVQ Level 4,Vocational,Pass,Training provided
104,53,A/L,General,,Probation period
105,54,Certificate in Caregiving,Healthcare,Distinction,Standard contract
106,54,NVQ Level 3,Vocational,Distinction,Training provided
107,55,Certificate in Masonry,Construction,Distinction,Standard contract
108,56,O/L,General,Merit,
109,56,Certificate in Nursing,Healthcare,Pass,Standard contract
110,57,NVQ Level 3,Vocational,Distinction,Probation period
111,57,Certificate in Electrical Work,Construction,Pass,Training provided
112,57,O/L,General,Merit,Standard contract
113,58,O/L,General,,Standard contract
114,58,NVQ Level 4,Vocational,Distinction,Standard contract
115,58,Diploma in Nursing,Healthcare,Distinction,Standard contract
116,59,NVQ Level 2,Vocational,Distinction,Requires visa
117,59,Certificate in Domestic Work,Domestic Services,Distinction,Training provided
118,59,NVQ Level 3,Vocational,Merit,Requires visa
119,60,NVQ Level 3,Vocational,Distinction,Requires visa
120,61,Certificate in Caregiving,Healthcare,,Standard contract
121,61,NVQ Level 3,Vocational,Distinction,
122,62,NVQ Level 4,Vocational,Pass,
123,62,Certificate in Caregiving,Healthcare,Merit,Probation period
124,62,Certificate in Nursing,Healthcare,,Training provided
125,63,Certificate in Plumbing,Construction,Pass,Standard contract
126,64,A/L,General,Pass,
127,64,NVQ Level 4,Vocational,Merit,Training provided
128,65,Certificate in Electrical Work,Construction,Pass,Training provided
129,66,NVQ Level 4,Vocational,,Standard contract
