SkillID,JobID,SkillName,ProficiencyLevel
1,1,Electrical,Intermediate
2,1,Tiling,Intermediate
3,1,Construction Supervision,Advanced
4,1,Painting,Intermediate
5,1,Masonry,Intermediate
6,2,Security Guarding,Intermediate
7,2,CCTV Monitoring,Intermediate
8,3,Painting,Basic
9,3,Electrical,Advanced
10,4,Retail Sales,Advanced
11,4,Customer Service,Intermediate
12,4,Inventory Management,Advanced
13,5,Customer Service,Advanced
14,6,Caregiving,Advanced
15,6,Laundry,Advanced
16,7,Quality Inspection,Intermediate
17,7,Machine Operation,Intermediate
18,8,Heavy Vehicle Driving,Basic
19,9,Farming,Intermediate
20,9,Livestock Management,Basic
21,10,Front Desk Operations,Intermediate
22,10,Banquet Service,Advanced
23,11,Tailoring,Basic
24,11,Textile Machine Operation,Advanced
25,11,Garment Quality Control,Advanced
26,11,Sewing,Intermediate
27,12,Home Cleaning,Basic
28,12,Housekeeping,Intermediate
29,12,Caregiving,Basic
30,13,Painting,Intermediate
31,13,Farming,Advanced
32,13,Barista Skills,Basic
33,14,Security Guarding,Advanced
34,14,CCTV Monitoring,Basic
35,15,Housekeeping,Basic
36,15,Home Cleaning,Basic
37,15,Cooking,Advanced
38,15,Childcare,Advanced
39,15,Caregiving,Intermediate
40,16,Accounting,Basic
41,16,Excel,Basic
42,17,CCTV Monitoring,Advanced
43,17,Security Guarding,Advanced
44,18,Hairdressing,Basic
45,18,Beauty Therapy,Intermediate
46,18,Makeup Artistry,Advanced
47,19,Bar Bending,Intermediate
48,19,Construction Supervision,Basic
49,20,Hairdressing,Basic
50,20,Makeup Artistry,Advanced
51,21,Machine Operation,Intermediate
52,21,Welding,Intermediate
53,21,Quality Inspection,Basic
54,21,Metal Fabrication,Basic
55,22,Housekeeping,Basic
56,22,Childcare,Intermediate
57,22,Cooking,Basic
58,22,Home Cleaning,Basic
59,23,Janitorial Skills,Advanced
60,23,Home Cleaning,Intermediate
61,24,Metal Fabrication,Intermediate
62,24,Welding,Basic
63,25,Tiling,Advanced
64,25,Carpentry,Basic
65,25,Bar Bending,Intermediate
66,25,Electrical,Intermediate
67,26,Textile Machine Operation,Advanced
68,26,Livestock Management,Advanced
69,26,Housekeeping,Advanced
70,26,Kitchen Assistance,Basic
71,26,Janitorial Skills,Basic
72,27,Kitchen Assistance,Advanced
73,28,Machine Operation,Basic
74,28,Welding,Basic
75,28,Metal Fabrication,Advanced
76,28,Quality Inspection,Advanced
77,29,Garment Quality Control,Basic
78,29,Textile Machine Operation,Basic
79,29,Sewing,Advanced
80,29,Tailoring,Advanced
81,30,Metal Fabrication,Intermediate
82,30,Welding,Basic
83,31,Caregiving,Advanced
84,31,Childcare,Advanced
85,31,Housekeeping,Intermediate
86,32,Childcare,Basic
87,32,Laundry,Basic
88,32,Home Cleaning,Intermediate
89,32,Caregiving,Advanced
90,32,Cooking,Intermediate
91,33,Shuttering Carpentry,Intermediate
92,34,Inventory Management,Advanced
93,34,Packing,Advanced
94,34,Logistics Coordination,Basic
95,35,Health Aide,Intermediate
96,35,Elderly Care,Advanced
97,35,First Aid,Basic
98,35,Childcare,Intermediate
99,35,Patient Care,Intermediate
100,36,Plumbing,Advanced
101,36,Bar Bending,Basic
102,36,Masonry,Intermediate
103,36,Shuttering Carpentry,Advanced
104,37,Logistics Coordination,Intermediate
105,37,Inventory Management,Basic
106,38,Teaching Assistance,Advanced
107,39,Caregiving,Intermediate
108,39,Housekeeping,Intermediate
109,39,Childcare,Advanced
110,39,Cooking,Advanced
111,39,Home Cleaning,Advanced
112,40,Driving,Basic
113,41,Bar Bending,Intermediate
114,41,Electrical,Intermediate
115,42,Home Cleaning,Basic
116,42,Housekeeping,Intermediate
117,43,MS Office,Basic
118,43,Excel,Basic
119,43,Data Entry,Advanced
120,43,Administrative Support,Intermediate
121,44,Childcare,Intermediate
122,44,Caregiving,Basic
123,44,Laundry,Advanced
124,45,Livestock Management,Advanced
125,45,Horticulture,Intermediate
126,45,Fishing,Basic
127,45,Farming,Advanced
128,46,Barista Skills,Basic
129,46,Serving,Advanced
130,46,Banquet Service,Basic
131,46,Food Preparation,Basic
132,46,Guest Relations,Basic
133,47,Heavy Vehicle Driving,Intermediate
134,47,Driving,Basic
135,47,Vehicle Maintenance,Advanced
136,48,First Aid,Intermediate
137,48,Caregiving,Basic
138,49,Housekeeping,Basic
139,49,Cooking,Basic
140,49,Laundry,Intermediate
141,49,Caregiving,Basic
142,49,Home Cleaning,Basic
143,50,Laundry,Basic
144,50,Home Cleaning,Intermediate
145,50,Housekeeping,Intermediate
146,50,Childcare,Intermediate
147,51,Plumbing,Basic
148,51,Shuttering Carpentry,Basic
149,52,Shuttering Carpentry,Basic
150,53,Elderly Care,Intermediate
151,53,Nursing,Advanced
152,53,Childcare,Advanced
153,53,Caregiving,Intermediate
154,54,Childcare,Advanced
155,54,Housekeeping,Intermediate
156,54,Caregiving,Advanced
157,54,Cooking,Basic
158,54,Laundry,Advanced
159,55,Carpentry,Basic
160,55,Construction Supervision,Intermediate
161,55,Bar Bending,Advanced
162,55,Painting,Advanced
163,56,Patient Care,Basic
164,57,Construction Supervision,Basic
165,57,Bar Bending,Advanced
166,57,Electrical,Advanced
167,58,Patient Care,Basic
168,59,Cooking,Intermediate
169,60,Painting,Intermediate
170,60,Tiling,Basic
171,60,Masonry,Basic
172,61,Caregiving,Intermediate
173,62,First Aid,Advanced
174,62,Elderly Care,Advanced
175,62,Caregiving,Basic
176,63,Tiling,Advanced
177,63,Plumbing,Advanced
178,63,Painting,Advanced
179,63,Electrical,Basic
180,64,Food Preparation,Basic
181,64,Banquet Service,Advanced
182,64,Hotel Housekeeping,Basic
183,64,Serving,Basic
184,64,Guest Relations,Basic
185,65,Construction Supervision,Intermediate
186,65,Shuttering Carpentry,Advanced
187,65,Bar Bending,Basic
188,65,Carpentry,Advanced
189,66,Metal Fabrication,Advanced
190,67,Construction Supervision,Intermediate
191,67,Painting,Basic
192,68,Electrical,Basic
193,69,IT Skills,Advanced
194,70,Sewing,Basic
195,70,Garment Quality Control,Advanced
196,71,Food Preparation,Basic
197,71,Hotel Housekeeping,Advanced
198,72,Shuttering Carpentry,Intermediate
199,72,Masonry,Advanced
200,72,Plumbing,Basic
201,72,Tiling,Advanced
202,73,Childcare,Intermediate
203,73,Laundry,Intermediate
204,73,Housekeeping,Basic
205,73,Caregiving,Advanced
206,73,Home Cleaning,Intermediate
207,74,Caregiving,Intermediate
208,74,Cooking,Advanced
209,74,Childcare,Basic
210,74,Housekeeping,Advanced
211,74,Home Cleaning,Intermediate
212,75,Laundry,Basic
213,75,Cooking,Intermediate
214,76,Serving,Intermediate
215,76,Barista Skills,Advanced
216,76,Hotel Housekeeping,Intermediate
217,76,Guest Relations,Advanced
218,76,Food Preparation,Intermediate
219,77,Plumbing,Intermediate
220,78,Food Preparation,Advanced
221,78,Front Desk Operations,Basic
222,79,Tailoring,Intermediate
223,79,Textile Machine Operation,Intermediate
224,79,Garment Quality Control,Intermediate
225,79,Sewing,Intermediate
226,80,Home Cleaning,Intermediate
227,80,Caregiving,Advanced
228,81,CCTV Monitoring,Basic
229,81,Security Guarding,Advanced
230,82,Garment Quality Control,Advanced
231,82,Tailoring,Basic
232,83,Inventory Management,Basic
233,83,Customer Service,Intermediate
234,83,Retail Sales,Basic
235,84,Electrical,Intermediate
236,84,Bar Bending,Intermediate
237,84,Masonry,Intermediate
238,85,Caregiving,Basic
239,86,Cooking,Intermediate
240,86,Housekeeping,Basic
241,86,Caregiving,Advanced
242,86,Home Cleaning,Basic
243,87,First Aid,Intermediate
244,87,Elderly Care,Basic
245,87,Childcare,Intermediate
246,88,Laundry,Advanced
247,88,Home Cleaning,Advanced
248,88,Cooking,Basic
249,88,Childcare,Advanced
250,89,Guest Relations,Advanced
251,89,Front Desk Operations,Intermediate
252,90,Janitorial Skills,Intermediate
253,90,Home Cleaning,Intermediate
254,91,Textile Machine Operation,Advanced
255,92,Barista Skills,Advanced
256,92,Kitchen Assistance,Advanced
257,93,Front Desk Operations,Intermediate
258,93,Guest Relations,Intermediate
259,93,Hotel Housekeeping,Advanced
260,93,Food Preparation,Intermediate
261,93,Banquet Service,Advanced
262,94,Childcare,Basic
263,94,Health Aide,Intermediate
264,95,Housekeeping,Advanced
265,95,Laundry,Intermediate
266,95,Home Cleaning,Advanced
267,95,Cooking,Basic
268,96,Construction Supervision,Basic
269,97,Caregiving,Intermediate
270,97,Childcare,Advanced
271,97,Home Cleaning,Advanced
272,97,Housekeeping,Intermediate
273,98,Masonry,Intermediate
274,99,Garment Quality Control,Advanced
275,99,Textile Machine Operation,Intermediate
276,99,Sewing,Intermediate
277,99,Tailoring,Intermediate
278,100,Caregiving,Basic
279,101,Childcare,Basic
280,101,Caregiving,Basic
281,101,Laundry,Advanced
282,101,Cooking,Advanced
283,101,Housekeeping,Advanced
284,102,Electrical,Advanced
285,103,Painting,Basic
286,103,Construction Supervision,Advanced
287,104,First Aid,Advanced
288,104,Patient Care,Advanced
289,105,Tiling,Basic
290,105,Shuttering Carpentry,Advanced
291,105,Masonry,Advanced
292,105,Electrical,Basic
293,106,Cooking,Basic
294,106,Caregiving,Advanced
295,106,Home Cleaning,Advanced
