LanguageID,PersonalID,LanguageName,ProficiencyLevel,ProofOfProficiency
1,1,English,Advanced,Certificate
2,1,Arabic,Intermediate,
3,2,Arabic,Basic,
4,2,Sinhala,Basic,
5,3,Tagalog,Intermediate,
6,3,English,Basic,
7,3,Arabic,Advanced,None
8,4,Tamil,Intermediate,
9,4,Korean,Advanced,Certificate
10,4,English,Intermediate,
11,4,Arabic,Advanced,None
12,5,English,Advanced,Test Score
13,6,English,Advanced,Test Score
14,6,Japanese,Advanced,None
15,6,Sinhala,Basic,
16,7,English,Intermediate,
17,8,English,Fluent,Test Score
18,8,Arabic,Advanced,None
19,9,Tamil,Basic,
20,9,Sinhala,Advanced,Certificate
21,10,English,Basic,
22,10,Arabic,Intermediate,
23,11,Arabic,Basic,
24,12,Tamil,Intermediate,
25,12,English,Intermediate,
26,12,Arabic,Basic,
27,13,Tamil,Basic,
28,13,English,Basic,
29,13,Arabic,Intermediate,
30,14,English,Basic,
31,15,Hindi,Basic,
32,15,English,Basic,
33,16,English,Advanced,Test Score
34,16,Arabic,Basic,
35,17,English,Fluent,Test Score
36,18,English,Basic,
37,18,Arabic,Basic,
38,19,Tamil,Basic,
39,19,Korean,Advanced,Test Score
40,20,Arabic,Basic,
41,21,Tamil,Intermediate,
42,21,Arabic,Intermediate,
43,22,Arabic,Fluent,Test Score
44,22,Korean,Intermediate,
45,22,English,Fluent,None
46,22,Tagalog,Advanced,Certificate
47,23,Italian,Fluent,Test Score
48,23,Arabic,Basic,
49,23,Hebrew,Fluent,Certificate
50,24,French,Basic,
51,24,English,Intermediate,
52,24,Sinhala,Advanced,Certificate
53,25,Tamil,Advanced,Certificate
54,25,English,Intermediate,
55,25,Japanese,Basic,
56,26,English,Basic,
57,27,Tamil,Basic,
58,28,Tamil,Basic,
59,28,English,Basic,
60,28,Arabic,Advanced,Certificate
61,28,Hebrew,Advanced,Test Score
62,29,Hindi,Intermediate,
63,29,Arabic,Basic,
64,29,Japanese,Basic,
65,30,English,Intermediate,
66,31,Tamil,Advanced,Certificate
67,31,Korean,Advanced,None
68,31,English,Basic,
69,32,French,Fluent,Certificate
70,33,Tamil,Intermediate,
71,33,English,Fluent,Certificate
72,33,Tagalog,Intermediate,
73,33,Arabic,Intermediate,
74,34,English,Basic,
75,34,Arabic,Advanced,Test Score
76,34,Sinhala,Intermediate,
77,35,English,Advanced,Certificate
78,35,Arabic,Basic,
79,36,Korean,Basic,
80,36,English,Basic,
81,37,Tamil,Intermediate,
82,37,Arabic,Intermediate,
83,37,Hebrew,Fluent,Test Score
84,38,Japanese,Basic,
85,38,Arabic,Basic,
86,38,Sinhala,Basic,
87,39,English,Intermediate,
88,39,Arabic,Advanced,None
89,40,English,Advanced,Certificate
90,40,Arabic,Advanced,None
91,40,Sinhala,Basic,
92,41,English,Basic,
93,42,Tamil,Basic,
94,42,Korean,Intermediate,
95,42,English,Basic,
96,43,Arabic,Fluent,Test Score
97,43,Italian,Basic,
98,43,Sinhala,Advanced,None
99,44,Tamil,Intermediate,
100,44,Arabic,Intermediate,
101,44,Sinhala,Intermediate,
102,45,English,Basic,
103,46,Japanese,Fluent,None
104,47,English,Intermediate,
105,47,Japanese,Basic,
106,48,Arabic,Basic,
107,49,English,Intermediate,
108,49,Sinhala,Advanced,Certificate
109,50,Korean,Basic,
110,50,Arabic,Advanced,Certificate
111,51,Tamil,Intermediate,
112,51,English,Intermediate,
113,51,Arabic,Basic,
114,52,English,Intermediate,
115,52,Sinhala,Intermediate,
116,53,English,Basic,
117,53,Arabic,Basic,
118,53,Hebrew,Intermediate,
119,54,Arabic,Fluent,Test Score
120,54,Sinhala,Advanced,None
121,55,Tamil,Intermediate,
122,55,English,Fluent,Certificate
123,55,Arabic,Advanced,None
124,55,Hebrew,Advanced,Certificate
125,56,Japanese,Advanced,Test Score
126,57,Arabic,Intermediate,
127,57,Hebrew,Basic,
128,58,Tamil,Basic,
129,58,Arabic,Basic,
130,59,Arabic,Advanced,Certificate
131,59,Japanese,Fluent,Certificate
132,60,Tamil,Basic,
133,60,Japanese,Intermediate,
134,60,Sinhala,Basic,
135,61,Tamil,Basic,
136,61,Arabic,Advanced,None
137,62,Korean,Intermediate,
138,62,Arabic,Fluent,None
139,63,Tamil,Intermediate,
140,64,English,Advanced,Certificate
141,65,Korean,Fluent,None
142,65,English,Advanced,None
143,66,Hebrew,Advanced,None
144,66,English,Basic,
145,66,Arabic,Basic,
146,66,Sinhala,Intermediate,
147,67,Italian,Intermediate,
148,67,Japanese,Advanced,Certificate
149,67,Hebrew,Basic,
150,68,Arabic,Intermediate,
151,69,English,Basic,
152,69,Arabic,Basic,
153,69,Hebrew,Basic,
154,70,Tamil,Intermediate,
155,70,Japanese,Advanced,Certificate
156,71,Arabic,Basic,
157,72,Arabic,Basic,
158,73,Tamil,Basic,
159,74,Arabic,Advanced,None
160,74,Hebrew,Intermediate,
161,75,Hebrew,Intermediate,
162,76,English,Basic,
163,76,Japanese,Advanced,None
164,76,Sinhala,Basic,
165,77,English,Fluent,Certificate
166,77,Arabic,Advanced,Test Score
167,78,English,Basic,
168,78,Arabic,Basic,
169,79,English,Basic,
170,79,Japanese,Basic,
171,80,Korean,Basic,
172,81,Korean,Basic,
173,82,Sinhala,Intermediate,
174,82,Hebrew,Fluent,Certificate
175,83,Tamil,Advanced,Certificate
176,83,Korean,Basic,
177,83,English,Basic,
178,83,Arabic,Advanced,None
179,84,English,Basic,
180,85,English,Basic,
181,85,Sinhala,Basic,
182,86,Hindi,Fluent,Certificate
183,86,English,Basic,
184,86,Arabic,Advanced,None
185,87,English,Intermediate,
186,88,Tamil,Basic,
187,88,Sinhala,Fluent,Test Score
188,89,English,Basic,
189,89,Hebrew,Basic,
190,90,German,Basic,
191,90,English,Basic,
192,90,Sinhala,Basic,
193,91,Arabic,Intermediate,
194,91,Japanese,Basic,
195,91,Sinhala,Intermediate,
196,92,Tamil,Intermediate,
197,92,Arabic,Basic,
198,93,Arabic,Advanced,None
199,94,Hindi,Basic,
200,94,English,Basic,
201,94,Sinhala,Basic,
202,95,Japanese,Intermediate,
203,95,Arabic,Intermediate,
204,95,Italian,Advanced,None
205,95,Sinhala,Basic,
206,96,French,Basic,
207,96,Arabic,Basic,
208,96,Japanese,Advanced,Certificate
209,97,English,Intermediate,
210,98,Hindi,Basic,
211,98,Tamil,Advanced,Test Score
212,98,Korean,Advanced,None
213,98,English,Basic,
214,99,Arabic,Intermediate,
215,99,Japanese,Advanced,None
216,100,Hindi,Advanced,Test Score
217,100,Korean,Advanced,Certificate
218,101,Tamil,Fluent,None
219,101,English,Intermediate,
220,101,Hebrew,Intermediate,
221,102,German,Basic,
222,102,English,Basic,
223,103,Tamil,Fluent,None
224,103,English,Fluent,Certificate
225,103,Sinhala,Intermediate,
226,104,Tamil,Advanced,None
227,104,Korean,Basic,
228,104,Arabic,Intermediate,
229,105,Hebrew,Fluent,None
230,105,Arabic,Fluent,Certificate
231,105,Sinhala,Fluent,Test Score
232,106,English,Basic,
233,107,English,Basic,
234,107,Arabic,Basic,
235,108,Tamil,Advanced,Test Score
236,108,English,Intermediate,
237,108,Arabic,Advanced,Test Score
238,109,Arabic,Basic,
239,109,Sinhala,Advanced,Certificate
240,110,French,Intermediate,
241,110,English,Advanced,Certificate
242,110,Sinhala,Basic,
243,111,English,Basic,
244,111,Arabic,Advanced,Certificate
245,112,Arabic,Advanced,Test Score
246,112,Japanese,Intermediate,
247,113,Arabic,Basic,
248,114,English,Basic,
249,114,Arabic,Basic,
