EmploymentID,PersonalID,EmploymentSector,Employer,Country,Occupation,StartDate,EndDate,DurationMonths
1,1,Healthcare & Nursing,Construction Co,United Arab Emirates,Caregiver,2010-10-17,2011-01-15,3
2,1,Domestic Services,Ceylon Ltd,Qatar,Caregiver,2011-03-15,2014-06-20,40
3,1,Domestic Services,Gem Plantations,Israel,Caregiver,2015-06-04,2017-02-23,21
4,1,Domestic Services,Ceylon Inc,Kuwait,Caregiver,2017-09-29,2018-09-27,13
5,2,Engineering & Technical,Ceylon Solutions,Kuwait,Bar Bender,2012-10-31,2017-05-29,56
6,7,Manufacturing,Gem Co,South Korea,Welder,2021-05-10,2021-12-11,8
7,7,Construction,Apparel Solutions,South Korea,Welder,2023-01-22,2024-09-07,20
8,9,Retail & Sales,Ceylon Pvt,Maldives,Nurse,2014-05-08,2019-08-31,65
9,12,Garment & Apparel,Sri Pvt,Oman,Plumber,2013-06-03,2014-02-19,9
10,12,Healthcare & Nursing,Apparel Ltd,Kuwait,Plumber,2015-04-19,2015-10-29,7
11,12,Domestic Services,Lanka Solutions,Kuwait,Plumber,2021-01-31,2021-12-17,11
12,12,Driving & Transportation,Island Enterprises,Saudi Arabia,Plumber,2022-01-30,2025-07-14,43
13,14,Driving & Transportation,Tech Ltd,Kuwait,Machine Operator,2018-07-25,2022-05-04,46
14,16,Facility Management,Island Solutions,Qatar,House Driver,2019-07-26,2019-09-27,3
15,17,Driving & Transportation,Apparel Solutions,Qatar,Delivery Driver,2023-01-17,2025-05-31,29
16,18,Beauty & Personal Care,Hotel Co,Kuwait,Kitchen Helper,2014-08-10,2015-09-22,14
17,19,Manufacturing,Hotel Inc,Hong Kong,Construction Helper,2012-06-14,2012-09-11,3
18,20,Construction,Ceylon Inc,Malaysia,Security Guard,2017-01-15,2020-01-27,37
19,20,Manufacturing,Island Corp,Japan,Security Guard,2020-08-21,2021-05-03,9
20,21,Healthcare & Nursing,Island Pvt,South Korea,Nurse,2012-01-18,2022-01-15,122
21,25,Agriculture & Fishery,Sri Plantations,Saudi Arabia,Nursing Assistant,2016-07-15,2022-02-09,68
22,26,Domestic Services,Ceylon Plantations,United Arab Emirates,Caregiver,2012-01-28,2012-05-07,4
23,26,Domestic Services,Tea Plantations,Qatar,Caregiver,2016-06-18,2016-07-07,1
24,26,Domestic Services,Gem Ltd,United Arab Emirates,Caregiver,2017-10-30,2017-11-07,1
25,26,Domestic Services,Tech Pvt,Kuwait,Caregiver,2017-12-23,2019-09-26,22
26,27,Hospitality & Tourism,Sri Co,Qatar,House Driver,2015-09-23,2017-05-23,21
27,27,Security Services,Island Inc,Romania,House Driver,2021-02-21,2023-07-02,29
28,28,Driving & Transportation,Ceylon Corp,United Arab Emirates,Fishery Worker,2013-08-25,2013-08-30,1
29,28,Textile & Sewing,Gem Pvt,United Arab Emirates,Fishery Worker,2013-10-15,2014-05-07,7
30,28,Construction,Lanka Plantations,Kuwait,Fishery Worker,2015-07-26,2019-09-24,51
31,29,Construction,Construction Ltd,Saudi Arabia,Nurse,2011-09-11,2013-11-04,27
32,30,Domestic Services,Lanka Enterprises,Saudi Arabia,Housemaid,2013-12-12,2014-06-11,7
33,30,Domestic Services,Hotel Corp,Saudi Arabia,Housemaid,2014-08-09,2021-05-05,83
34,32,Security Services,Hotel Corp,Qatar,Delivery Driver,2022-10-06,2023-05-08,8
36,34,Facility Management,Tech Ltd,Oman,Construction Supervisor,2013-01-21,2017-08-07,56
37,35,Domestic Services,Gem Plantations,Kuwait,Housemaid,2016-06-21,2016-06-21,1
38,35,Cleaning Services,Construction Inc,Qatar,Housemaid,2016-06-24,2017-07-22,14
39,35,Cleaning Services,Sri Co,United Arab Emirates,Housemaid,2018-01-13,2018-12-23,12
40,35,Cleaning Services,Lanka Pvt,Saudi Arabia,Housemaid,2021-06-27,2021-10-14,4
41,36,Beauty & Personal Care,Construction Inc,Japan,Carpenter,2019-10-02,2021-07-15,22
42,36,Retail & Sales,Construction Group,Saudi Arabia,Carpenter,2021-12-20,2022-11-21,12
43,39,Healthcare & Nursing,Island Pvt,Kuwait,Caregiver,2019-06-20,2025-01-29,69
44,41,Manufacturing,Tea Plantations,Jordan,General Labourer,2011-12-30,2014-10-09,34
45,41,Domestic Services,Sri Inc,Saudi Arabia,General Labourer,2020-01-13,2024-04-15,52
46,42,Beauty & Personal Care,Lanka Group,Qatar,Delivery Driver,2020-06-28,2025-07-03,62
47,43,Logistics & Warehousing,Apparel Enterprises,United Arab Emirates,House Driver,2021-06-28,2022-12-08,18
48,43,Facility Management,Gem Ltd,Kuwait,House Driver,2023-05-27,2025-05-17,25
49,44,Construction,Gem Inc,Romania,Cleaner,2012-05-31,2014-04-06,23
50,44,Security Services,Ceylon Co,Saudi Arabia,Cleaner,2014-10-20,2016-02-05,16
51,44,Cleaning Services,Sri Group,Qatar,Cleaner,2020-03-07,2023-12-29,47
53,45,Domestic Services,Apparel Plantations,Saudi Arabia,Caregiver,2023-01-24,2023-02-09,1
54,45,Domestic Services,Construction Plantations,United Arab Emirates,Caregiver,2023-06-21,2023-07-08,1
55,45,Healthcare & Nursing,Ceylon Co,United Arab Emirates,Caregiver,2023-07-29,2025-04-16,21
56,47,Domestic Services,Tech Plantations,Kuwait,Laundry Worker,2023-07-21,2025-04-29,22
57,48,Retail & Sales,Tea Inc,Qatar,Quality Control Inspector,2013-04-09,2013-10-04,6
58,48,Construction,Apparel Corp,Kuwait,Quality Control Inspector,2013-12-22,2014-03-19,3
59,48,Engineering & Technical,Lanka Ltd,Lebanon,Quality Control Inspector,2023-03-04,2024-07-27,18
60,50,Healthcare & Nursing,Hotel Plantations,Saudi Arabia,Delivery Driver,2018-12-05,2019-01-10,2
61,50,Healthcare & Nursing,Sri Ltd,United Arab Emirates,Delivery Driver,2020-07-16,2023-05-26,35
62,51,Education & Training,Construction Corp,Qatar,Nurse,2017-01-14,2018-05-17,17
63,51,Construction,Tea Group,United Arab Emirates,Nurse,2021-02-18,2021-09-08,7
64,51,Security Services,Gem Enterprises,Singapore,Nurse,2023-12-14,2024-10-01,10
65,54,Education & Training,Construction Group,Kuwait,Heavy Vehicle Operator,2015-05-24,2015-06-28,2
66,54,Garment & Apparel,Tea Corp,Saudi Arabia,Heavy Vehicle Operator,2015-07-03,2017-07-22,25
67,54,Garment & Apparel,Ceylon Enterprises,Qatar,Heavy Vehicle Operator,2017-09-20,2021-10-19,50
68,55,Domestic Services,Apparel Corp,Russia,Sewing Machine Operator,2022-07-14,2024-11-23,29
69,56,Construction,Gem Ltd,Qatar,Barista,2012-04-05,2012-06-06,3
70,56,Garment & Apparel,Ceylon Ltd,Turkey,Barista,2013-07-17,2017-05-17,47
71,57,Garment & Apparel,Construction Inc,New Zealand,Laundry Worker,2013-07-05,2018-01-03,55
72,58,Education & Training,Tea Solutions,United Arab Emirates,Construction Supervisor,2015-06-03,2018-01-16,32
73,58,Garment & Apparel,Lanka Inc,Qatar,Construction Supervisor,2022-09-28,2024-04-22,20
74,61,Healthcare & Nursing,Construction Corp,United Arab Emirates,Factory Worker,2013-03-22,2013-03-26,1
75,61,Facility Management,Hotel Inc,Kuwait,Factory Worker,2013-06-10,2019-08-20,76
76,61,Manufacturing,Construction Corp,Kuwait,Factory Worker,2021-08-08,2023-05-10,22
77,63,Domestic Services,Island Plantations,South Korea,Barista,2014-01-20,2016-04-29,28
78,63,Healthcare & Nursing,Lanka Solutions,United Kingdom,Barista,2016-12-13,2017-02-14,3
79,63,Beauty & Personal Care,Hotel Corp,Kuwait,Barista,2018-10-09,2025-04-09,80
81,68,Engineering & Technical,Apparel Corp,Qatar,Quality Control Inspector,2012-12-26,2016-05-17,42
82,73,Engineering & Technical,Ceylon Enterprises,Kuwait,Kitchen Helper,2018-04-17,2018-07-08,3
83,73,IT & Professional Services,Sri Corp,Romania,Kitchen Helper,2019-12-30,2023-11-01,47
84,76,Manufacturing,Sri Corp,Saudi Arabia,Waiter,2021-10-05,2023-09-18,24
85,78,Manufacturing,Ceylon Ltd,Jordan,Construction Supervisor,2016-04-25,2016-06-06,2
86,78,Logistics & Warehousing,Lanka Enterprises,Kuwait,Construction Supervisor,2017-06-06,2018-03-04,10
87,78,Textile & Sewing,Apparel Inc,United Arab Emirates,Construction Supervisor,2022-05-01,2025-02-19,35
88,79,Healthcare & Nursing,Ceylon Ltd,Saudi Arabia,Chef,2012-01-05,2015-12-01,48
89,79,IT & Professional Services,Construction Solutions,Qatar,Chef,2017-07-11,2023-12-17,79
90,80,Construction,Ceylon Solutions,Lebanon,Carpenter,2015-06-30,2015-08-21,2
91,80,Facility Management,Island Ltd,Serbia,Carpenter,2015-08-31,2018-03-27,32
92,80,IT & Professional Services,Tech Ltd,Saudi Arabia,Carpenter,2021-05-11,2021-05-14,1
93,80,Logistics & Warehousing,Island Group,South Korea,Carpenter,2024-03-23,2025-03-16,12
