QualificationID,PersonalID,Qualification,Institution,Year
1,2,CPA,ICASL,1989
2,3,Tourism & Hospitality Certificate,SLITHM,2004
3,3,NVQ Level 4,VTA,2014
4,4,NVQ Level 5,NAITA,2014
5,4,NVQ Level 5,TVEC,2017
6,5,PMP,PMI,2019
7,5,NVQ Level 5,VTA,2002
8,6,NVQ Level 4,VTA,2020
9,6,NVQ Level 5,NAITA,1990
10,7,Welding Certification,VTA,2022
11,7,Welding Certification,VTA,1984
12,9,Nursing License,SLNMC,1981
13,9,Nursing License,SLNMC,2017
14,13,CPA,CIMA UK,1989
15,13,Tourism & Hospitality Certificate,SLITHM,2002
16,14,CIMA,CIMA UK,2008
17,14,CIMA,ICASL,1980
18,15,NVQ Level 5,TVEC,1980
19,16,Driving License,DMT,1992
20,18,PMP,PMI,2006
21,18,NVQ Level 4,TVEC,2019
22,19,CPA,CIMA UK,2024
23,21,Nursing License,SLNMC,2021
24,22,PMP,PMI,2018
25,23,CIMA,ICASL,2008
26,23,Tourism & Hospitality Certificate,SLITHM,2002
27,24,Tourism & Hospitality Certificate,SLITHM,1986
28,24,CPA,ICASL,2024
29,27,Driving License,DMT,1980
30,28,PMP,PMI,2019
31,30,NVQ Level 5,VTA,2022
32,31,Tourism & Hospitality Certificate,SLITHM,2020
33,31,NVQ Level 4,VTA,1988
34,32,Driving License,DMT,2017
35,32,Driving License,DMT,2020
36,33,CPA,CIMA UK,1990
37,33,PMP,PMI,2007
38,34,CPA,CIMA UK,1981
39,35,PMP,PMI,1996
40,36,NVQ Level 5,NAITA,1987
41,37,CPA,ICASL,1990
42,40,NVQ Level 4,TVEC,1980
43,40,Tourism & Hospitality Certificate,SLITHM,1992
44,41,CIMA,CIMA UK,2017
45,42,Driving License,DMT,2015
46,42,Driving License,DMT,2025
47,43,Driving License,DMT,1986
48,44,Tourism & Hospitality Certificate,SLITHM,1987
49,45,Nursing License,SLNMC,2017
50,46,CIMA,ICASL,1986
51,47,Tourism & Hospitality Certificate,SLITHM,1997
52,47,CIMA,ICASL,1991
53,48,CPA,CIMA UK,1993
54,49,CPA,ICASL,1989
55,49,NVQ Level 5,VTA,1997
56,50,Driving License,DMT,1990
57,51,Nursing License,SLNMC,2002
58,51,Nursing License,SLNMC,2012
59,52,Driving License,DMT,2007
60,52,Driving License,DMT,2000
61,53,NVQ Level 5,TVEC,2000
62,55,PMP,PMI,1984
63,56,CPA,ICASL,2000
64,57,PMP,PMI,2000
65,58,CPA,ICASL,2002
66,58,PMP,PMI,1980
67,59,NVQ Level 4,NAITA,1991
68,59,NVQ Level 4,NAITA,2024
69,60,PMP,PMI,1982
70,60,NVQ Level 5,VTA,1996
71,61,PMP,PMI,2023
72,62,CIMA,CIMA UK,2016
73,64,NVQ Level 4,NAITA,1994
74,65,PMP,PMI,2016
75,66,NVQ Level 4,TVEC,1992
76,69,PMP,PMI,1992
77,70,Driving License,DMT,2021
78,71,Driving License,DMT,2000
79,72,Driving License,DMT,2001
80,72,Driving License,DMT,1995
81,73,PMP,PMI,2025
82,74,CIMA,CIMA UK,1984
83,74,CIMA,ICASL,1991
84,75,Nursing License,SLNMC,2003
85,77,Nursing License,SLNMC,1990
86,77,Nursing License,SLNMC,2019
87,78,Tourism & Hospitality Certificate,SLITHM,2021
88,79,PMP,PMI,2003
89,80,NVQ Level 5,NAITA,2015
90,80,CPA,CIMA UK,1994
91,81,Tourism & Hospitality Certificate,SLITHM,2014
92,82,Driving License,DMT,2020
93,85,Tourism & Hospitality Certificate,SLITHM,1996
94,86,CPA,CIMA UK,2006
95,87,NVQ Level 5,VTA,2005
96,88,NVQ Level 4,TVEC,2006
97,88,CIMA,ICASL,2014
98,89,Nursing License,SLNMC,2012
99,91,Tourism & Hospitality Certificate,SLITHM,1984
100,93,Tourism & Hospitality Certificate,SLITHM,2012
101,94,NVQ Level 5,VTA,1991
102,94,NVQ Level 4,VTA,2020
103,95,CPA,CIMA UK,1992
104,96,NVQ Level 4,NAITA,2017
105,100,Nursing License,SLNMC,1981
106,100,Nursing License,SLNMC,2011
107,101,NVQ Level 4,TVEC,1981
108,101,CIMA,ICASL,1987
109,102,NVQ Level 4,NAITA,2004
110,103,CIMA,CIMA UK,2006
111,103,NVQ Level 5,VTA,2006
112,106,NVQ Level 5,NAITA,2015
113,107,Driving License,DMT,1998
114,107,Driving License,DMT,1981
115,109,PMP,PMI,2009
116,109,NVQ Level 5,NAITA,2008
117,111,PMP,PMI,2024
118,112,Driving License,DMT,2020
119,112,Driving License,DMT,1991
120,113,CIMA,ICASL,2016
121,115,PMP,PMI,1990
122,115,Tourism & Hospitality Certificate,SLITHM,2011
123,116,Driving License,DMT,1981
124,118,PMP,PMI,1985
125,118,PMP,PMI,2010
126,119,CIMA,CIMA UK,2019
127,123,NVQ Level 4,TVEC,2010
128,124,CIMA,ICASL,1981
129,126,Driving License,DMT,2021
130,127,CPA,ICASL,2013
131,127,NVQ Level 5,VTA,1983
132,128,CIMA,ICASL,2018
133,129,CPA,ICASL,1985
134,129,PMP,PMI,1991
135,130,Tourism & Hospitality Certificate,SLITHM,2023
136,131,Nursing License,SLNMC,1989
137,135,Nursing License,SLNMC,2009
138,137,CIMA,ICASL,1999
139,138,CIMA,ICASL,1990
140,138,CIMA,CIMA UK,2002
141,139,PMP,PMI,2016
142,139,PMP,PMI,2015
143,140,CPA,ICASL,1993
144,142,Tourism & Hospitality Certificate,SLITHM,2016
145,143,Tourism & Hospitality Certificate,SLITHM,1998
146,143,PMP,PMI,2004
147,144,Welding Certification,VTA,2005
148,145,Tourism & Hospitality Certificate,SLITHM,2001
149,145,CIMA,ICASL,1980
150,151,CPA,ICASL,1988
151,151,NVQ Level 4,TVEC,2017
152,152,CIMA,ICASL,1998
153,153,Driving License,DMT,1990
154,153,Driving License,DMT,2004
155,154,CPA,ICASL,2020
