ALevelID,PersonalID,ExamName,SubjectStream,Year,Subject1,Result1,Subject2,Result2,Subject3,Result3,Subject4,Result4
1,2,ALevel,Technology,2016,Technology Subject 4,B,Technology Subject 3,S,Technology Subject 1,C,,
2,4,ALevel,Technology,2000,Technology Subject 4,A,Technology Subject 2,S,Technology Subject 1,B,,
3,5,ALevel,Commerce,1996,Commerce Subject 1,A,Commerce Subject 4,W,Commerce Subject 3,S,Commerce Subject 2,S
4,6,ALevel,Arts,2016,Arts Subject 2,B,Arts Subject 1,C,Arts Subject 4,B,Arts Subject 3,W
5,9,ALevel,Commerce,2015,Commerce Subject 2,B,Commerce Subject 1,C,Commerce Subject 3,C,Commerce Subject 4,A
6,10,ALevel,Commerce,2006,Commerce Subject 3,S,Commerce Subject 1,S,Commerce Subject 4,B,Commerce Subject 2,W
7,14,ALevel,Technology,1980,Technology Subject 1,S,Technology Subject 2,A,Technology Subject 3,B,Technology Subject 4,B
8,15,ALevel,Technology,2010,Technology Subject 2,C,Technology Subject 4,C,Technology Subject 1,C,,
9,18,ALevel,Science,2000,Science Subject 3,C,Science Subject 4,B,Science Subject 2,S,Science Subject 1,B
10,19,ALevel,Commerce,2008,Commerce Subject 2,B,Commerce Subject 3,C,Commerce Subject 1,B,,
11,22,ALevel,Arts,1983,Arts Subject 1,B,Arts Subject 3,S,Arts Subject 2,B,,
12,27,ALevel,Science,1994,Science Subject 4,C,Science Subject 3,W,Science Subject 2,B,,
13,30,ALevel,Technology,1988,Technology Subject 1,A,Technology Subject 2,C,Technology Subject 4,B,Technology Subject 3,B
14,32,ALevel,Arts,2025,Arts Subject 4,B,Arts Subject 1,W,Arts Subject 2,S,Arts Subject 3,B
15,34,ALevel,Arts,2011,Arts Subject 4,B,Arts Subject 3,B,Arts Subject 2,C,,
16,35,ALevel,Science,2019,Science Subject 2,A,Science Subject 4,S,Science Subject 1,A,,
17,38,ALevel,Commerce,2002,Commerce Subject 3,A,Commerce Subject 4,W,Commerce Subject 1,S,Commerce Subject 2,B
18,43,ALevel,Arts,1991,Arts Subject 1,S,Arts Subject 3,S,Arts Subject 2,A,Arts Subject 4,B
19,47,ALevel,Technology,1986,Technology Subject 2,B,Technology Subject 4,W,Technology Subject 3,C,,
20,48,ALevel,Arts,2000,Arts Subject 4,C,Arts Subject 3,B,Arts Subject 1,B,Arts Subject 2,B
21,50,ALevel,Commerce,2022,Commerce Subject 1,C,Commerce Subject 4,C,Commerce Subject 2,A,Commerce Subject 3,C
