OLevelID,PersonalID,ExamName,Year,Subject1,Result1,Subject2,Result2,Subject3,Result3,Subject4,Result4,Subject5,Result5,Subject6,Result6,Subject7,Result7,Subject8,Result8,Subject9,Result9,Subject10,Result10
1,2,OLevel,2015,Science,B,Music,S,Commerce,B,Geography,B,History,C,IT,S,Art,A,,,,,,
2,4,OLevel,2011,Geography,A,Commerce,S,Sinhala,C,Tamil,W,IT,S,English,C,Science,B,History,A,,,,
3,5,OLevel,2014,Geography,C,Music,S,Art,B,Mathematics,A,IT,W,English,B,History,W,Tamil,A,,,,
4,6,OLevel,1987,Mathematics,B,English,C,Tamil,B,History,S,Commerce,S,Art,B,Geography,B,Music,A,IT,B,Sinhala,B
5,8,OLevel,1999,Art,W,Science,C,IT,B,Commerce,B,Sinhala,B,Tamil,W,English,B,Mathematics,C,,,,
6,9,OLevel,2009,Geography,C,Sinhala,W,Music,W,IT,B,English,C,Commerce,W,Mathematics,B,,,,,,
7,10,OLevel,2013,Art,W,IT,S,Science,B,Commerce,C,English,C,Sinhala,A,,,,,,,,
8,11,OLevel,1980,History,W,Music,A,Geography,C,Commerce,B,English,S,Tamil,S,Art,A,Mathematics,A,,,,
9,13,OLevel,2017,Geography,C,History,S,Sinhala,W,English,A,Commerce,C,Tamil,A,Art,C,IT,C,Mathematics,A,Music,C
10,14,OLevel,1996,Tamil,A,Science,C,Sinhala,C,Music,C,Commerce,A,English,C,History,C,IT,A,Mathematics,C,Geography,W
11,15,OLevel,2006,IT,C,English,A,Commerce,C,Tamil,C,Music,B,Science,A,History,C,,,,,,
12,16,OLevel,2012,Geography,A,Science,A,Mathematics,W,IT,B,Commerce,B,Art,C,History,C,Tamil,B,English,C,Music,C
13,18,OLevel,1982,Mathematics,B,History,S,English,C,IT,S,Music,C,Art,A,Science,C,Geography,S,,,,
14,19,OLevel,2018,Tamil,S,Mathematics,C,Commerce,B,Geography,S,Science,B,History,A,Music,A,IT,S,English,B,Art,S
15,20,OLevel,2011,Geography,B,Tamil,C,Science,A,Music,S,English,A,Mathematics,C,,,,,,,,
16,22,OLevel,2016,Mathematics,B,English,S,Science,S,Music,C,History,A,Commerce,C,,,,,,,,
17,23,OLevel,2010,Geography,W,Art,A,Music,A,Commerce,S,IT,B,Science,B,,,,,,,,
18,24,OLevel,2010,IT,B,Art,B,Geography,A,Commerce,S,Science,A,Music,C,,,,,,,,
19,26,OLevel,2015,English,B,Music,S,Mathematics,S,IT,W,Commerce,A,History,A,Tamil,W,Science,B,Art,B,Sinhala,A
20,27,OLevel,1988,English,S,Commerce,B,Sinhala,A,IT,C,Science,W,Tamil,C,Mathematics,C,Geography,B,,,,
21,28,OLevel,2020,History,S,Music,C,Mathematics,C,Art,C,Sinhala,C,Geography,B,,,,,,,,
22,30,OLevel,1996,Mathematics,C,Sinhala,S,IT,C,Art,A,Music,C,English,C,Tamil,A,,,,,,
23,31,OLevel,2008,Science,C,Tamil,A,Sinhala,B,History,C,IT,B,Music,S,,,,,,,,
24,32,OLevel,1984,Commerce,C,English,C,Sinhala,B,Mathematics,W,Art,B,History,C,Geography,S,Music,A,,,,
25,34,OLevel,1987,Mathematics,S,Science,C,English,W,Geography,C,Tamil,C,Music,C,Commerce,C,History,B,Art,S,Sinhala,S
26,35,OLevel,1985,Music,B,Commerce,B,History,S,English,B,IT,W,Tamil,B,Art,A,,,,,,
27,38,OLevel,1995,Science,A,Music,S,English,A,Commerce,C,History,B,Geography,A,Art,W,Sinhala,S,,,,
28,39,OLevel,1981,IT,A,Art,B,Sinhala,A,English,C,Commerce,A,Science,C,Tamil,C,Mathematics,B,,,,
29,40,OLevel,1989,Commerce,A,Tamil,S,English,C,Geography,B,Music,S,Art,S,History,A,,,,,,
30,41,OLevel,2011,Music,S,Geography,W,Commerce,W,IT,A,Art,C,Mathematics,S,,,,,,,,
31,42,OLevel,2016,History,C,Tamil,A,Sinhala,S,Science,B,Art,S,Mathematics,C,Music,A,Geography,B,,,,
32,43,OLevel,1981,History,A,IT,W,Mathematics,S,Geography,A,Music,C,English,A,,,,,,,,
33,44,OLevel,2001,Mathematics,A,Commerce,B,Music,W,Sinhala,B,Science,B,History,A,Tamil,C,Geography,S,Art,A,,
34,46,OLevel,2001,History,B,IT,A,Science,C,Music,C,Mathematics,B,Geography,C,English,A,,,,,,
35,47,OLevel,2016,Music,W,IT,A,Geography,S,Science,B,Art,W,History,A,English,A,Tamil,C,Mathematics,C,,
36,48,OLevel,1980,English,C,Commerce,S,Geography,C,Mathematics,C,Sinhala,B,Music,A,IT,A,,,,,,
37,49,OLevel,1980,Music,B,English,W,Science,A,Tamil,W,Art,A,IT,S,,,,,,,,
38,50,OLevel,2017,IT,B,Commerce,B,Art,S,Tamil,B,Science,S,English,A,Mathematics,C,Geography,C,Music,B,Sinhala,B
39,51,OLevel,2013,Geography,W,Commerce,W,Sinhala,C,Tamil,B,Music,C,English,C,IT,B,Art,S,Science,B,,
40,52,OLevel,2016,History,A,Tamil,S,Art,B,IT,B,Sinhala,S,Commerce,W,English,W,Mathematics,B,,,,
41,53,OLevel,1985,Art,W,Commerce,C,IT,B,Mathematics,A,Geography,A,Tamil,A,History,C,Science,B,Sinhala,C,,
42,54,OLevel,1986,Music,A,Mathematics,S,History,B,Tamil,W,Sinhala,S,Geography,A,English,C,Commerce,B,,,,
43,55,OLevel,2020,Mathematics,C,Sinhala,A,Tamil,W,Art,A,IT,A,Geography,B,Music,C,,,,,,
44,56,OLevel,2022,Art,S,Sinhala,C,History,C,Music,S,Mathematics,C,Science,A,,,,,,,,
45,58,OLevel,1986,Tamil,A,English,S,IT,W,Sinhala,A,Art,C,Mathematics,C,,,,,,,,
46,59,OLevel,2012,Science,A,Sinhala,W,English,B,Geography,B,IT,S,Music,C,Commerce,B,Mathematics,B,History,C,,
47,60,OLevel,1985,English,S,IT,S,Mathematics,A,Art,S,Music,W,Sinhala,C,Science,S,History,S,Tamil,S,Geography,A
48,61,OLevel,2016,Geography,C,English,C,Art,S,Commerce,S,IT,S,Mathematics,B,Science,C,Music,B,,,,
49,62,OLevel,1984,Science,S,English,A,Tamil,A,Commerce,B,Music,W,IT,C,Geography,S,,,,,,
50,63,OLevel,2000,Commerce,B,IT,A,History,C,Art,B,Science,S,Music,S,Mathematics,A,Geography,S,English,S,Tamil,C
51,64,OLevel,1987,Science,B,Tamil,A,IT,C,Music,A,Mathematics,C,Sinhala,W,English,S,Art,S,History,C,Geography,A
52,65,OLevel,1981,Music,S,Sinhala,C,IT,W,Commerce,W,Mathematics,S,Art,B,History,S,Tamil,C,,,,
53,66,OLevel,2010,History,C,English,B,Commerce,C,Geography,A,Tamil,S,Art,C,,,,,,,,
54,67,OLevel,1987,Mathematics,W,Commerce,B,Science,C,IT,B,Music,C,Geography,B,English,B,Sinhala,W,Tamil,A,History,A
55,69,OLevel,2000,Science,C,Sinhala,A,History,W,IT,B,Commerce,B,English,C,,,,,,,,
56,71,OLevel,1995,English,C,Science,S,Music,B,Art,C,IT,A,Mathematics,W,History,W,Tamil,A,,,,
57,72,OLevel,2007,Mathematics,B,English,C,Art,B,Science,B,Geography,S,Tamil,B,Commerce,W,History,A,IT,S,,
58,73,OLevel,1997,Geography,A,English,C,Science,C,Mathematics,C,Commerce,B,Tamil,B,History,C,Sinhala,C,Art,B,,
59,74,OLevel,1998,Mathematics,B,History,C,Art,A,Science,S,Geography,A,Sinhala,C,English,C,Commerce,C,IT,A,,
60,75,OLevel,2017,History,S,Music,C,Mathematics,C,Tamil,C,Commerce,C,Science,C,English,C,Art,S,,,,
61,77,OLevel,2006,English,C,IT,B,Art,S,Sinhala,S,Mathematics,S,Geography,A,Science,A,History,S,Music,A,,
62,78,OLevel,2014,Art,C,Commerce,C,History,A,IT,A,English,S,Tamil,C,Geography,A,,,,,,
63,79,OLevel,1982,Sinhala,C,Tamil,W,Science,B,IT,C,Art,S,Commerce,A,Mathematics,B,Geography,A,,,,
